sessionId,entrantId,positionOrder,positionText,laps,time
2015-18-Q1,7052,1,1,,71682
2015-18-Q1,7038,2,2,,71746
2015-18-Q1,7039,3,3,,72185
2015-18-Q1,7037,4,4,,72240
2015-18-Q1,7049,5,5,,72595
2015-18-Q1,7036,6,6,,72639
2015-18-Q1,7048,7,7,,72730
2015-18-Q1,7051,8,8,,72824
2015-18-Q1,7054,9,9,,72934
2015-18-Q1,7045,10,10,,72980
2015-18-Q1,7040,11,11,,73056
2015-18-Q1,7043,12,12,,73111
2015-18-Q1,7042,13,13,,73140
2015-18-Q1,7053,14,14,,73267
2015-18-Q1,7041,15,15,,73346
2015-18-Q1,7044,16,16,5,73385
2015-18-Q1,7047,17,17,6,73425
2015-18-Q1,7062,18,18,6,76151
2015-18-Q1,7050,19,19,6,76283
2015-18-Q1,7056,20,NC,2,
