entrantId,lap,time,pos
7065,1,86081,1
7081,1,86378,2
7090,1,87405,3
7064,1,88643,4
7067,1,89359,5
7083,1,89772,6
7073,1,90373,7
7072,1,90857,8
7078,1,91271,9
7066,1,91889,10
7076,1,92243,11
7070,1,92628,12
7075,1,93108,13
7089,1,93524,14
7068,1,94221,15
7082,1,94719,16
7085,1,95717,17
7079,1,96177,18
7069,1,96513,19
7074,1,97517,20
7084,1,98309,21
7071,1,102294,22
7065,2,79041,1
7081,2,80016,2
7090,2,79781,3
7064,2,79976,4
7067,2,80110,5
7083,2,80542,6
7073,2,80682,7
7078,2,81121,8
7072,2,81566,9
7066,2,80831,10
7076,2,81177,11
7070,2,81633,12
7075,2,81927,13
7068,2,81900,14
7089,2,82910,15
7082,2,82009,16
7085,2,82414,17
7079,2,82625,18
7069,2,82611,19
7074,2,82595,20
7084,2,82918,21
7071,2,81339,22
7065,3,78331,1
7081,3,78330,2
7090,3,78879,3
7064,3,79337,4
7067,3,79149,5
7083,3,79664,6
7073,3,79803,7
7078,3,79862,8
7066,3,80854,9
7072,3,81618,10
7076,3,81339,11
7070,3,80857,12
7075,3,80755,13
7068,3,80515,14
7089,3,80780,15
7082,3,81028,16
7085,3,81112,17
7079,3,80878,18
7069,3,81121,19
7074,3,81325,20
7084,3,81211,21
7071,3,80781,22
7065,4,77916,1
7081,4,77823,2
7090,4,78817,3
7064,4,78858,4
7067,4,78854,5
7083,4,78865,6
7073,4,79114,7
7078,4,79292,8
7066,4,78858,9
7072,4,80102,10
7076,4,80107,11
7070,4,80128,12
7075,4,80100,13
7068,4,79872,14
7089,4,80250,15
7082,4,80179,16
7085,4,79931,17
7069,4,80504,18
7079,4,81965,19
7074,4,80364,20
7084,4,80240,21
7071,4,80777,22
7065,5,77677,1
7081,5,77400,2
7090,5,79125,3
7064,5,78803,4
7067,5,78780,5
7083,5,78714,6
7073,5,78842,7
7078,5,78999,8
7066,5,78587,9
7072,5,79722,10
7076,5,79456,11
7070,5,79638,12
7075,5,79799,13
7068,5,79628,14
7089,5,79561,15
7082,5,79655,16
7085,5,80383,17
7069,5,80066,18
7079,5,80547,19
7074,5,81220,20
7084,5,80848,21
7071,5,82093,22
7065,6,77474,1
7081,6,77326,2
7090,6,78735,3
7064,6,78401,4
7067,6,79433,5
7083,6,78779,6
7073,6,78717,7
7078,6,78601,8
7066,6,78944,9
7072,6,79341,10
7076,6,79529,11
7070,6,79475,12
7075,6,79467,13
7068,6,79473,14
7089,6,79453,15
7082,6,79538,16
7085,6,80675,17
7069,6,80581,18
7079,6,79879,19
7074,6,80065,20
7084,6,80133,21
7071,6,81350,22
7065,7,77711,1
7081,7,78135,2
7090,7,78579,3
7064,7,78585,4
7067,7,78849,5
7083,7,79087,6
7073,7,78696,7
7078,7,79043,8
7066,7,80888,9
7072,7,79643,10
7076,7,79579,11
7070,7,79486,12
7075,7,80066,13
7068,7,80058,14
7089,7,79835,15
7082,7,79514,16
7085,7,80503,17
7069,7,80318,18
7079,7,80437,19
7084,7,80408,20
7074,7,82898,21
7071,7,81709,22
7065,8,77968,1
7081,8,78099,2
7090,8,78664,3
7064,8,78470,4
7067,8,78947,5
7083,8,79128,6
7073,8,79107,7
7078,8,79214,8
7066,8,79204,9
7072,8,79819,10
7076,8,79798,11
7070,8,79951,12
7075,8,79488,13
7068,8,79543,14
7089,8,79670,15
7082,8,80039,16
7085,8,80959,17
7069,8,80810,18
7079,8,80915,19
7084,8,80174,20
7074,8,80224,21
7071,8,81398,22
7065,9,78145,1
7081,9,78199,2
7090,9,78732,3
7064,9,78051,4
7067,9,79000,5
7083,9,78686,6
7073,9,78778,7
7078,9,79304,8
7066,9,78176,9
7072,9,79704,10
7076,9,79722,11
7070,9,79547,12
7068,9,79535,13
7075,9,80627,14
7089,9,79722,15
7082,9,79401,16
7085,9,80147,17
7069,9,80761,18
7079,9,80557,19
7084,9,80739,20
7074,9,80108,21
7071,9,98408,22
7065,10,78111,1
7081,10,78059,2
7090,10,78499,3
7064,10,78803,4
7067,10,79147,5
7083,10,78942,6
7073,10,79085,7
7078,10,79749,8
7066,10,78727,9
7072,10,79737,10
7070,10,80252,11
7068,10,79362,12
7075,10,81004,13
7089,10,80911,14
7082,10,80740,15
7085,10,87321,16
7069,10,88468,17
7079,10,88762,18
7084,10,89180,19
7074,10,89345,20
7071,10,97581,21
7081,11,98077,1
7090,11,97094,2
7064,11,97072,3
7065,11,109296,4
7083,11,98152,5
7073,11,97521,6
7066,11,96687,7
7078,11,97878,8
7072,11,97171,9
7070,11,96350,10
7068,11,96846,11
7089,11,97005,12
7075,11,97365,13
7082,11,97258,14
7067,11,113014,15
7079,11,89266,16
7084,11,88888,17
7069,11,91699,18
7074,11,88400,19
7085,11,109394,20
7071,11,83131,21
7081,12,78501,1
7090,12,78883,2
7064,12,79235,3
7065,12,79971,4
7083,12,79080,5
7073,12,79463,6
7066,12,79151,7
7078,12,79906,8
7072,12,79803,9
7070,12,79505,10
7068,12,79955,11
7089,12,80041,12
7082,12,81135,13
7067,12,81183,14
7075,12,83361,15
7079,12,81119,16
7084,12,81088,17
7069,12,81570,18
7074,12,81482,19
7085,12,83190,20
7071,12,80962,21
7081,13,77470,1
7090,13,78467,2
7064,13,78550,3
7065,13,77391,4
7083,13,78440,5
7073,13,79491,6
7066,13,78481,7
7078,13,79405,8
7072,13,79590,9
7070,13,79535,10
7068,13,79642,11
7089,13,79231,12
7067,13,78690,13
7079,13,80631,14
7084,13,80994,15
7069,13,81282,16
7074,13,81165,17
7082,13,95748,18
7075,13,96414,19
7085,13,79230,20
7071,13,80269,21
7081,14,77628,1
7090,14,78399,2
7064,14,78504,3
7065,14,77538,4
7083,14,78632,5
7073,14,79100,6
7066,14,78379,7
7078,14,79290,8
7072,14,79747,9
7070,14,79710,10
7068,14,79590,11
7089,14,79253,12
7067,14,78137,13
7079,14,80600,14
7084,14,81206,15
7074,14,81263,16
7082,14,80324,17
7075,14,82252,18
7085,14,79440,19
7069,14,97695,20
7071,14,80246,21
7081,15,77908,1
7090,15,78426,2
7064,15,78397,3
7065,15,78018,4
