entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
7081,1,1,6030115,2,,70,25,1,25,,,
7066,2,2,6032092,1,,70,18,1,18,1977,,
7064,3,3,6057654,3,,70,15,1,15,27539,,
7065,4,4,6058328,5,,70,12,1,12,28213,,
7090,5,5,6078774,4,,70,10,1,10,48659,,
7067,6,6,6079159,14,,70,8,1,8,49044,,
7072,7,7,,7,,69,6,1,6,+1 lap,,
7082,8,8,,6,,69,4,1,4,+1 lap,,
7083,9,9,,10,,69,2,1,2,+1 lap,,
7078,10,10,,9,,69,1,1,1,+1 lap,,
7070,11,11,,13,,69,0,1,0,+1 lap,,
7079,12,12,,17,,69,0,1,0,+1 lap,,
7075,13,13,,15,,69,0,1,0,+1 lap,5000,
7068,14,14,,11,,69,0,1,0,+1 lap,,
7074,15,15,,19,,69,0,1,0,+1 lap,,
7089,16,16,,12,,69,0,1,0,+1 lap,,
7071,17,17,,16,,69,0,1,0,+1 lap,,
7073,18,18,,18,,68,0,1,0,+2 laps,,
7085,19,19,,20,,68,0,1,0,+2 laps,,
7069,20,20,,PL,,68,0,1,0,+2 laps,,
7084,21,21,,21,5,68,0,1,0,+2 laps,,
7076,22,DNF,,8,,60,0,1,0,,,Oil leak
