entrantId,lap,time,pos
7081,1,104036,1
7064,1,104920,2
7066,1,105682,3
7067,1,106308,4
7090,1,108017,5
7065,1,108486,6
7073,1,109244,7
7082,1,109893,8
7072,1,111313,9
7075,1,112258,10
7076,1,112960,11
7089,1,113989,12
7069,1,114791,13
7079,1,115475,14
7068,1,115601,15
7074,1,115986,16
7070,1,116976,17
7093,1,117282,18
7071,1,117537,19
7085,1,117898,20
7078,1,143182,21
7083,1,146668,22
7081,2,104292,1
7064,2,104480,2
7066,2,104635,3
7067,2,104807,4
7090,2,104988,5
7065,2,105311,6
7073,2,105982,7
7082,2,106205,8
7072,2,106316,9
7075,2,107296,10
7076,2,107018,11
7089,2,107220,12
7069,2,107112,13
7068,2,106874,14
7074,2,108197,15
7070,2,107791,16
7079,2,109696,17
7093,2,108933,18
7085,2,108799,19
7071,2,109950,20
7083,2,129558,21
7081,3,104159,1
7064,3,104333,2
7066,3,104359,3
7067,3,104354,4
7090,3,104561,5
7065,3,104704,6
7073,3,105555,7
7082,3,105464,8
7072,3,105842,9
7076,3,106406,10
7075,3,107744,11
7089,3,107243,12
7068,3,106645,13
7069,3,108043,14
7070,3,105774,15
7074,3,107603,16
7079,3,107746,17
7093,3,109314,18
7085,3,109104,19
7071,3,108806,20
7083,3,105221,21
7081,4,104197,1
7064,4,104168,2
7066,4,104400,3
7067,4,104435,4
7090,4,104132,5
7065,4,104561,6
7073,4,105265,7
7082,4,105242,8
7072,4,105357,9
7076,4,106130,10
7075,4,106519,11
7089,4,106322,12
7068,4,106402,13
7069,4,106470,14
7070,4,106280,15
7074,4,106965,16
7079,4,106841,17
7085,4,108256,18
7093,4,109445,19
7071,4,109107,20
7083,4,105368,21
7081,5,104416,1
7064,5,104365,2
7066,5,104184,3
7067,5,104374,4
7090,5,104440,5
7065,5,104924,6
7073,5,105187,7
7082,5,106096,8
7072,5,105924,9
7076,5,106445,10
7075,5,106869,11
7068,5,106170,12
7089,5,107794,13
7070,5,106456,14
7069,5,107528,15
7074,5,107213,16
7079,5,107128,17
7085,5,106621,18
7093,5,107583,19
7071,5,107896,20
7083,5,105206,21
7081,6,103649,1
7064,6,104406,2
7066,6,104639,3
7067,6,104502,4
7090,6,104695,5
7065,6,104645,6
7073,6,105732,7
7082,6,106205,8
7072,6,106169,9
7076,6,106258,10
7075,6,106796,11
7068,6,106358,12
7070,6,106055,13
7089,6,107814,14
7069,6,107291,15
7074,6,107089,16
7079,6,107212,17
7085,6,107104,18
7093,6,108699,19
7071,6,108619,20
7083,6,105529,21
7081,7,103857,1
7064,7,104291,2
7066,7,104348,3
7067,7,104423,4
7090,7,104421,5
7065,7,104275,6
7073,7,105462,7
7082,7,105464,8
7072,7,105731,9
7076,7,105999,10
7068,7,106051,11
7075,7,108146,12
7070,7,106624,13
7089,7,107058,14
7069,7,107104,15
7074,7,107328,16
7079,7,107686,17
7085,7,107100,18
7093,7,108272,19
7071,7,108304,20
7083,7,105825,21
7081,8,103646,1
7064,8,104339,2
7066,8,104674,3
7067,8,104887,4
7090,8,104607,5
7065,8,104433,6
7073,8,105721,7
7082,8,105950,8
7072,8,105691,9
7076,8,106247,10
7068,8,105958,11
7070,8,105494,12
7075,8,108216,13
7089,8,107308,14
7069,8,107214,15
7074,8,107256,16
7079,8,107113,17
7085,8,107044,18
7071,8,107635,19
7093,8,109365,20
7083,8,106237,21
7081,9,103457,1
7066,9,104147,2
7090,9,104850,3
7065,9,104581,4
7073,9,105657,5
7082,9,105733,6
7072,9,105955,7
7064,9,123465,8
7067,9,123844,9
7076,9,106438,10
7068,9,106071,11
7070,9,105917,12
7075,9,107229,13
7089,9,107220,14
7069,9,107139,15
7074,9,107234,16
7079,9,107497,17
7085,9,107471,18
7071,9,108281,19
7093,9,109295,20
7083,9,105971,21
7081,10,103831,1
7066,10,104758,2
7065,10,104965,3
7073,10,106200,4
7082,10,105907,5
7064,10,104043,6
7072,10,107268,7
7067,10,104026,8
7090,10,123792,9
7076,10,107229,10
7068,10,106893,11
7070,10,106595,12
7075,10,107306,13
7089,10,107222,14
7069,10,107235,15
7074,10,107588,16
7079,10,107529,17
7085,10,107281,18
7071,10,108223,19
7093,10,108868,20
7083,10,106293,21
7081,11,103680,1
7065,11,104532,2
7073,11,106278,3
7064,11,103740,4
7082,11,107049,5
7066,11,123629,6
7067,11,104492,7
7090,11,104299,8
7072,11,107417,9
7075,11,107358,10
7089,11,107212,11
7069,11,107125,12
7074,11,107478,13
7079,11,107338,14
7085,11,107703,15
7076,11,125013,16
7070,11,123763,17
7068,11,126014,18
7071,11,108002,19
7093,11,108096,20
7083,11,106184,21
7065,12,104658,1
7081,12,122784,2
7064,12,103728,3
7066,12,103769,4
7067,12,104294,5
7090,12,103093,6
7073,12,123296,7
7089,12,107497,8
7075,12,109216,9
7082,12,125919,10
7069,12,108717,11
7074,12,107978,12
7072,12,125473,13
7079,12,108162,14
7085,12,107730,15
7076,12,106440,16
7070,12,105326,17
7068,12,104948,18
7071,12,107123,19
7093,12,107917,20
7083,12,106037,21
7065,13,105056,1
7081,13,103745,2
7064,13,104273,3
7066,13,104175,4
7090,13,103056,5
7067,13,105076,6
7073,13,104124,7
7082,13,104247,8
7089,13,107312,9
7075,13,108315,10
7069,13,107813,11
7072,13,106142,12
7074,13,109053,13
7079,13,108425,14
7076,13,106173,15
7070,13,106812,16
7068,13,106693,17
7085,13,110830,18
7071,13,107437,19
7093,13,108407,20
7083,13,106467,21
7065,14,105834,1
7081,14,104118,2
7064,14,103863,3
7066,14,103388,4
7090,14,103460,5
7067,14,104035,6
7073,14,104407,7
7082,14,105043,8
7089,14,106410,9
7072,14,105129,10
7069,14,107410,11
7076,14,105878,12
7070,14,105597,13
7068,14,105726,14
7079,14,109485,15
7071,14,106619,16
7075,14,125312,17
7093,14,109021,18
7074,14,124502,19
7085,14,128871,20
7083,14,106220,21
7081,15,104027,1
7064,15,103739,2
7066,15,103373,3
7090,15,103059,4
7067,15,103881,5
7065,15,123085,6
7073,15,104536,7
7082,15,104892,8
7089,15,106100,9
7072,15,105907,10
7069,15,107008,11
7076,15,106040,12
7070,15,105957,13
7068,15,105697,14
7079,15,108881,15
7071,15,106542,16
7075,15,105364,17
7074,15,105809,18
7093,15,109338,19
7085,15,105666,20
7083,15,106495,21
7081,16,103708,1
7064,16,103978,2
7066,16,103838,3
7090,16,103499,4
7067,16,103921,5
7065,16,103096,6
7073,16,104796,7
7082,16,105160,8
7089,16,106609,9
7072,16,105607,10
7069,16,107293,11
7076,16,105767,12
7070,16,105936,13
7068,16,105930,14
7071,16,106651,15
7074,16,105588,16
7093,16,108549,17
7079,16,124671,18
7085,16,106365,19
7083,16,106688,20
7075,16,134999,21
7081,17,103702,1
7064,17,103856,2
7066,17,103522,3
7090,17,103342,4
7067,17,103880,5
7065,17,103181,6
7073,17,104382,7
7082,17,105160,8
7072,17,105487,9
7089,17,107854,10
7076,17,105780,11
7070,17,106022,12
7068,17,106746,13
7069,17,109803,14
7071,17,106554,15
7074,17,105589,16
7079,17,105166,17
7093,17,109158,18
7085,17,106004,19
7083,17,106832,20
7081,18,103443,1
7064,18,103762,2
7066,18,103577,3
7090,18,103612,4
7067,18,104018,5
7065,18,103430,6
7073,18,104773,7
7082,18,105088,8
7072,18,105116,9
7089,18,106917,10
7076,18,105781,11
7070,18,105793,12
7068,18,105704,13
7071,18,106984,14
7074,18,105498,15
7079,18,104724,16
7069,18,126830,17
7085,18,106284,18
7083,18,107225,19
7093,18,126147,20
7081,19,103371,1
7064,19,103468,2
7066,19,103492,3
7090,19,103588,4
7067,19,104008,5
7065,19,103569,6
7073,19,104501,7
7082,19,105243,8
7072,19,105227,9
7089,19,107140,10
7076,19,105514,11
7070,19,105439,12
7068,19,105661,13
7071,19,106549,14
7074,19,105754,15
7079,19,104873,16
7069,19,105140,17
7085,19,105990,18
7083,19,106959,19
7093,19,105178,20
7081,20,103656,1
7064,20,103897,2
7066,20,103717,3
7090,20,104311,4
7067,20,104190,5
7065,20,103403,6
7073,20,104590,7
7082,20,104888,8
7072,20,105279,9
7076,20,105510,10
7089,20,107914,11
7070,20,106029,12
7068,20,105839,13
7071,20,107015,14
7074,20,106013,15
7079,20,105401,16
7069,20,105845,17
7085,20,106413,18
7083,20,108227,19
7093,20,106238,20
7081,21,103764,1
7064,21,104214,2
7066,21,104451,3
7090,21,104682,4
7067,21,104483,5
7065,21,103810,6
7073,21,105392,7
7082,21,105362,8
7072,21,105445,9
7076,21,105920,10
7070,21,106471,11
7068,21,106800,12
7089,21,109468,13
7071,21,107630,14
7074,21,106582,15
7079,21,105450,16
7069,21,106065,17
7085,21,106526,18
7093,21,106193,19
7083,21,126182,20
7081,22,103738,1
7064,22,104061,2
7066,22,104108,3
7090,22,104846,4
7067,22,104628,5
7065,22,103896,6
7073,22,104936,7
7082,22,105505,8
7072,22,105063,9
7076,22,105794,10
7070,22,105624,11
7068,22,105612,12
7071,22,107135,13
7074,22,106809,14
7079,22,105349,15
7069,22,105806,16
7085,22,106334,17
7089,22,138959,18
7093,22,107894,19
7083,22,105893,20
7081,23,103195,1
7064,23,104159,2
7066,23,104004,3
7090,23,104695,4
7067,23,104925,5
7065,23,104298,6
7073,23,105112,7
7082,23,105216,8
7072,23,105034,9
7076,23,105757,10
7070,23,105440,11
7068,23,105490,12
7074,23,106129,13
7071,23,108227,14
7079,23,105501,15
7069,23,105638,16
7085,23,106058,17
7089,23,104762,18
7093,23,106274,19
7083,23,108338,20
7081,24,103341,1
7064,24,104330,2
7066,24,104006,3
7090,24,104121,4
7067,24,104974,5
7065,24,104415,6
7073,24,105070,7
7082,24,105450,8
7072,24,104710,9
7076,24,105630,10
7070,24,105577,11
7068,24,105949,12
7074,24,105526,13
7079,24,105124,14
7071,24,108657,15
7069,24,106152,16
7085,24,106365,17
7089,24,104918,18
7093,24,109513,19
7083,24,105237,20
7081,25,103699,1
7064,25,104492,2
7066,25,104192,3
7090,25,104644,4
7065,25,103664,5
7067,25,121024,6
7073,25,105981,7
7082,25,105191,8
7072,25,104726,9
7076,25,105144,10
7070,25,105240,11
7068,25,106108,12
7074,25,105808,13
7079,25,105265,14
7071,25,107444,15
7069,25,106790,16
7085,25,106135,17
7089,25,105498,18
7093,25,108866,19
7083,25,105397,20
7081,26,103271,1
7066,26,103217,2
7090,26,104960,3
7065,26,103885,4
7064,26,121616,5
7067,26,101841,6
7073,26,105496,7
7082,26,105363,8
7072,26,105448,9
7076,26,105685,10
7070,26,105433,11
7068,26,106224,12
7074,26,105977,13
7079,26,106076,14
7069,26,106754,15
7071,26,109092,16
7085,26,106531,17
7089,26,105900,18
7093,26,108441,19
7083,26,105426,20
7081,27,103739,1
7066,27,103350,2
7065,27,103966,3
7064,27,103366,4
7067,27,102557,5
7073,27,106256,6
7090,27,133925,7
7082,27,105784,8
7072,27,105565,9
7076,27,105961,10
7070,27,105891,11
7068,27,107191,12
7074,27,106369,13
7069,27,105874,14
7071,27,107310,15
7085,27,106731,16
7089,27,107736,17
7079,27,126368,18
7083,27,106582,19
7093,27,131146,20
7081,28,103803,1
7066,28,104178,2
7065,28,103703,3
7064,28,102927,4
7067,28,102626,5
7090,28,102424,6
7073,28,106879,7
7082,28,105894,8
7072,28,105322,9
7076,28,105998,10
7070,28,123502,11
7068,28,127235,12
7069,28,107694,13
7071,28,107734,14
7085,28,108643,15
7089,28,105952,16
7074,28,125474,17
7079,28,105240,18
7083,28,106735,19
7093,28,106956,20
7081,29,103746,1
7066,29,104425,2
7065,29,104232,3
7064,29,103650,4
7067,29,102962,5
7073,29,107135,6
7082,29,106008,7
7072,29,105482,8
7070,29,104120,9
7076,29,126564,10
7068,29,104788,11
7069,29,106412,12
7071,29,110094,13
7085,29,106804,14
7089,29,105729,15
7074,29,105951,16
7079,29,105775,17
7083,29,105858,18
7093,29,110780,19
7081,30,104296,1
7066,30,104749,2
7064,30,104113,3
7067,30,103136,4
7065,30,122397,5
7082,30,107349,6
7072,30,111329,7
7073,30,132397,8
7070,30,120295,9
7076,30,120547,10
7068,30,122275,11
7069,30,122987,12
7089,30,125381,13
7074,30,126323,14
7085,30,128249,15
7079,30,126508,16
7071,30,153863,17
7083,30,133639,18
7093,30,137320,19
7081,31,121052,1
7066,31,125712,2
7064,31,132053,3
7067,31,132902,4
7065,31,133120,5
7082,31,157317,6
7073,31,139459,7
7072,31,154715,8
7070,31,135855,9
7076,31,138951,10
7068,31,137667,11
7069,31,137060,12
7089,31,137506,13
7074,31,137486,14
7079,31,138468,15
7085,31,156077,16
7071,31,136349,17
7083,31,136951,18
7093,31,135952,19
7081,32,153564,1
7066,32,154938,2
7064,32,136092,3
7067,32,136758,4
7065,32,136611,5
7082,32,129144,6
7073,32,129859,7
7072,32,128345,8
7070,32,123975,9
7076,32,121757,10
7068,32,120929,11
7069,32,120992,12
7089,32,117132,13
7074,32,117179,14
7079,32,116654,15
7085,32,115229,16
7071,32,112138,17
7083,32,109292,18
7093,32,106793,19
7081,33,114714,1
7066,33,109380,2
7064,33,109382,3
7067,33,107834,4
7065,33,107095,5
7082,33,102832,6
7073,33,103414,7
7072,33,103794,8
7070,33,103925,9
7076,33,104514,10
7068,33,104719,11
7069,33,105641,12
7089,33,104879,13
7074,33,105708,14
7079,33,104944,15
7071,33,104345,16
7085,33,107075,17
7083,33,107087,18
7093,33,105896,19
7081,34,102837,1
7066,34,101897,2
7064,34,102834,3
7067,34,102005,4
7065,34,102975,5
7082,34,103395,6
7073,34,103648,7
7072,34,103955,8
7070,34,103986,9
7076,34,104750,10
7068,34,104397,11
7069,34,105286,12
7089,34,106089,13
7074,34,104854,14
7079,34,105133,15
7071,34,105554,16
7085,34,105817,17
7083,34,104977,18
7093,34,105644,19
7081,35,102933,1
7066,35,102234,2
7064,35,103168,3
7067,35,102532,4
7065,35,103596,5
7082,35,103651,6
7073,35,103607,7
7072,35,103791,8
7070,35,104268,9
7076,35,104656,10
7068,35,104335,11
7069,35,106025,12
7089,35,104924,13
7074,35,104680,14
7079,35,105565,15
7071,35,105315,16
7085,35,106820,17
7083,35,105104,18
7093,35,105452,19
7081,36,102656,1
7066,36,102732,2
7064,36,103313,3
7067,36,103008,4
7065,36,103485,5
7082,36,103827,6
7073,36,103755,7
7072,36,103502,8
7070,36,104076,9
7076,36,104547,10
7068,36,104669,11
7069,36,106918,12
7089,36,104774,13
7074,36,105051,14
7079,36,106832,15
7071,36,106798,16
7085,36,105451,17
7083,36,105071,18
7093,36,105460,19
7081,37,102769,1
7066,37,103393,2
7064,37,102872,3
7067,37,103061,4
7065,37,103284,5
7082,37,104049,6
7073,37,103854,7
7072,37,103636,8
7070,37,104231,9
7076,37,104468,10
7068,37,104495,11
7069,37,105995,12
7089,37,105099,13
7074,37,106552,14
7079,37,109000,15
7071,37,106999,16
7085,37,105800,17
7083,37,105519,18
7093,37,105787,19
7081,38,102931,1
7066,38,103005,2
7064,38,103042,3
7067,38,103738,4
7065,38,103162,5
7082,38,104366,6
7073,38,104110,7
7072,38,103860,8
7070,38,104350,9
7076,38,104656,10
7068,38,104507,11
7069,38,105855,12
7089,38,106797,13
7074,38,105183,14
7079,38,105324,15
7071,38,106098,16
7085,38,106585,17
7083,38,105829,18
7093,38,109484,19
7081,39,103029,1
7066,39,103235,2
7064,39,103717,3
7065,39,103260,4
7082,39,104534,5
7073,39,104386,6
7072,39,104312,7
7070,39,104488,8
7076,39,104641,9
7068,39,104900,10
7069,39,107771,11
7089,39,105245,12
7074,39,106222,13
7079,39,105220,14
7071,39,106073,15
7085,39,106604,16
7083,39,105607,17
7093,39,107689,18
7081,40,103788,1
7066,40,103666,2
7064,40,103691,3
7065,40,103458,4
7082,40,104269,5
7073,40,104106,6
7072,40,103938,7
7070,40,104287,8
7076,40,104751,9
7068,40,104748,10
7069,40,105518,11
7089,40,106198,12
7074,40,105004,13
7079,40,105023,14
7071,40,106302,15
7085,40,106381,16
