sessionId,entrantId,positionOrder,positionText,laps,time
2017-01-Q1,7112,1,1,,84191
2017-01-Q1,7098,2,2,,84352
2017-01-Q1,7110,3,3,,84482
2017-01-Q1,7114,4,4,,84514
2017-01-Q1,7107,5,5,,84975
2017-01-Q1,7101,6,6,,85064
2017-01-Q1,7104,7,7,,85099
2017-01-Q1,7097,8,8,,85210
2017-01-Q1,7096,9,9,,85383
2017-01-Q1,7099,10,10,,85419
2017-01-Q1,7113,11,11,,85542
2017-01-Q1,7102,12,12,,85872
2017-01-Q1,7106,13,13,,85970
2017-01-Q1,7109,14,14,,86009
2017-01-Q1,7100,15,15,,86236
2017-01-Q1,7111,16,16,8,86419
2017-01-Q1,7105,17,17,7,86847
2017-01-Q1,7095,18,18,6,86858
2017-01-Q1,7103,19,19,7,87143
2017-01-Q1,7108,20,20,7,88244
