sessionId,entrantId,positionOrder,positionText,laps,time
2017-20-FP2,7112,1,1,39,97877
2017-20-FP2,7097,2,2,37,98026
2017-20-FP2,7096,3,3,34,98180
2017-20-FP2,7098,4,4,35,98352
2017-20-FP2,7114,5,5,33,98537
2017-20-FP2,7110,6,6,34,98894
2017-20-FP2,7101,7,7,33,99323
2017-20-FP2,7109,8,8,36,99333
2017-20-FP2,7107,9,9,41,99529
2017-20-FP2,7102,10,10,28,99559
2017-20-FP2,7104,11,11,36,99635
2017-20-FP2,7095,12,12,31,99671
2017-20-FP2,7125,13,13,38,100201
2017-20-FP2,7103,14,14,30,100329
2017-20-FP2,7122,15,15,39,100694
2017-20-FP2,7105,16,16,31,101128
2017-20-FP2,7115,17,17,43,101270
2017-20-FP2,7100,18,18,40,101302
2017-20-FP2,7126,19,19,39,101496
2017-20-FP2,7099,20,20,12,101560
