entrantId,lap,time,timeOfDay,annotation
7103,11,21613,17:23:10,
7095,12,22125,17:24:58,
7110,14,21269,17:27:48,
7098,15,21609,17:29:30,
7101,16,21869,17:31:34,
7107,17,29724,17:33:10,Five-second time penalty
7096,19,23477,17:36:18,
7097,20,21221,17:37:57,
7114,21,21478,17:39:31,
7102,21,22541,17:40:31,
7104,22,21449,17:42:15,
7105,22,21875,17:42:42,
7112,24,21274,17:44:41,
7126,26,21598,17:49:52,
7115,28,22959,17:53:13,
7103,29,21543,17:55:13,
7122,30,21519,17:56:53,
7100,30,22176,17:56:57,
7109,31,21865,17:57:47,
7125,31,21956,17:57:49,
7099,32,21850,17:59:52,
7103,35,21908,18:06:11,
