sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
2018-04-R,7145,1,1,6224291,2,,51,25,1,25,,,
2018-04-R,7131,2,2,6226751,6,,51,18,1,18,2460,,
2018-04-R,7135,3,3,6228315,8,,51,15,1,15,4024,,
2018-04-R,7130,4,4,6229620,1,,51,12,1,12,5329,,
2018-04-R,7146,5,5,6231806,9,,51,10,1,10,7515,,
2018-04-R,7137,6,6,6233449,13,,51,8,1,8,9158,,
2018-04-R,7136,7,7,6235222,12,,51,6,1,6,10931,,
2018-04-R,7138,8,8,6236837,10,,51,4,1,4,12546,,
2018-04-R,7128,9,9,6238443,16,,51,2,1,2,14152,,
2018-04-R,7141,10,10,6242321,19,,51,1,1,1,18030,,
2018-04-R,7133,11,11,6242803,18,,51,0,1,0,18512,,
2018-04-R,7134,12,12,6249011,17,,51,0,1,0,24720,,
2018-04-R,7139,13,13,6264954,15,,51,0,1,0,40663,10000,
2018-04-R,7147,14,14,,3,,48,0,1,0,,,Puncture
2018-04-R,7132,15,DNF,,20,5,42,0,1,0,,,Accident
2018-04-R,7143,16,DNF,,5,,39,0,1,0,,,Collision
2018-04-R,7129,17,DNF,,4,,39,0,1,0,,,Collision
2018-04-R,7140,18,DNF,,14,5,10,0,1,0,,,Accident
2018-04-R,7142,19,DNF,,7,,0,0,1,0,,,Collision
2018-04-R,7144,20,DNF,,11,,0,0,1,0,,,Collision
