entrantId,lap,time,pos
7130,1,94886,1
7147,1,96818,2
7143,1,98960,3
7131,1,100019,4
7129,1,100783,5
7140,1,101799,6
7137,1,102640,7
7142,1,103209,8
7146,1,103739,9
7139,1,104840,10
7136,1,105688,11
7134,1,106132,12
7132,1,106494,13
7133,1,106890,14
7128,1,107419,15
7144,1,108019,16
7145,1,108599,17
7138,1,109047,18
7135,1,117814,19
7141,1,174472,20
7130,2,92918,1
7147,2,94460,2
7143,2,94366,3
7131,2,94290,4
7129,2,94422,5
7140,2,95432,6
7137,2,95725,7
7142,2,96410,8
7146,2,96714,9
7139,2,96991,10
7136,2,96900,11
7134,2,97156,12
7132,2,97831,13
7133,2,97975,14
7145,2,96761,15
7128,2,98833,16
7144,2,99349,17
7138,2,99343,18
7135,2,95283,19
7130,3,92723,1
7147,3,93267,2
7143,3,93951,3
7131,3,93735,4
7129,3,93976,5
7140,3,94933,6
7137,3,95209,7
7142,3,95408,8
7146,3,95366,9
7139,3,95820,10
7136,3,95875,11
7134,3,96052,12
7132,3,96056,13
7145,3,95486,14
7133,3,96953,15
7128,3,96697,16
7144,3,97560,17
7138,3,97575,18
7135,3,94485,19
7130,4,93108,1
7147,4,93616,2
7143,4,94033,3
7131,4,94025,4
7129,4,94024,5
7140,4,95088,6
7137,4,95261,7
7142,4,95405,8
7146,4,95277,9
7139,4,96839,10
7136,4,96474,11
7134,4,96109,12
7145,4,95173,13
7132,4,96663,14
7133,4,96287,15
7128,4,96442,16
7144,4,96589,17
7138,4,96917,18
7135,4,96063,19
7130,5,92991,1
7147,5,93653,2
7143,5,94094,3
7131,5,94305,4
7129,5,94203,5
7140,5,95303,6
7137,5,95679,7
7142,5,95690,8
7146,5,96028,9
7139,5,95830,10
7145,5,94975,11
7136,5,96797,12
7134,5,96975,13
7132,5,96167,14
7133,5,96315,15
7128,5,96567,16
7144,5,96472,17
7135,5,95632,18
7138,5,97852,19
7130,6,93359,1
7147,6,93494,2
7143,6,93918,3
7131,6,93843,4
7129,6,94110,5
7140,6,95608,6
7137,6,95358,7
7142,6,95684,8
7146,6,96168,9
7145,6,93772,10
7139,6,96799,11
7136,6,96084,12
7134,6,96118,13
7132,6,96307,14
7133,6,95706,15
7128,6,96050,16
7144,6,96599,17
7135,6,96073,18
7138,6,96907,19
7130,7,93315,1
7147,7,93703,2
7143,7,93785,3
7131,7,94208,4
7129,7,93896,5
7140,7,95829,6
7137,7,95699,7
7142,7,95509,8
7145,7,94131,9
7146,7,96626,10
7139,7,95875,11
7136,7,95956,12
7134,7,96232,13
7132,7,96211,14
7133,7,96277,15
7128,7,96372,16
7135,7,95057,17
7144,7,98045,18
7138,7,97154,19
7130,8,93302,1
7147,8,93220,2
7143,8,93747,3
7131,8,93769,4
7129,8,93936,5
7140,8,95417,6
7137,8,95379,7
7145,8,93461,8
7142,8,96275,9
7146,8,95571,10
7139,8,95754,11
7136,8,95782,12
7134,8,95979,13
7132,8,96088,14
7133,8,96408,15
7128,8,95898,16
7135,8,95191,17
7144,8,96348,18
7138,8,96605,19
7130,9,93098,1
7147,9,93307,2
7143,9,93539,3
7131,9,93684,4
7129,9,94000,5
7140,9,95492,6
7145,9,93653,7
7137,9,96093,8
7142,9,95712,9
7146,9,95619,10
7139,9,95677,11
7136,9,95789,12
7134,9,95992,13
7132,9,96190,14
7133,9,96291,15
7128,9,96205,16
7135,9,95805,17
7144,9,96297,18
7138,9,96380,19
7130,10,93356,1
7147,10,93606,2
7143,10,93825,3
7131,10,94084,4
7129,10,94089,5
7145,10,94523,6
7140,10,96624,7
7137,10,95913,8
7142,10,95717,9
7146,10,95810,10
7139,10,96028,11
7136,10,96137,12
7134,10,96145,13
7132,10,96358,14
7133,10,96418,15
7128,10,96222,16
7135,10,96275,17
7144,10,96755,18
7138,10,96921,19
7130,11,93687,1
7147,11,93686,2
7143,11,93824,3
7131,11,94266,4
7129,11,94135,5
7145,11,93403,6
7140,11,95421,7
7137,11,95397,8
7142,11,95536,9
7146,11,95564,10
7139,11,95720,11
7136,11,95679,12
7134,11,95655,13
7132,11,95889,14
7133,11,96072,15
7128,11,95978,16
7135,11,96010,17
7144,11,96984,18
7138,11,96810,19
7130,12,93784,1
7147,12,93528,2
7143,12,93822,3
7131,12,94091,4
7129,12,93881,5
7145,12,93114,6
7140,12,95244,7
7137,12,95337,8
7142,12,95245,9
7146,12,95552,10
7139,12,95532,11
7136,12,95717,12
7134,12,95808,13
7132,12,96082,14
7133,12,96053,15
7128,12,96190,16
7135,12,96433,17
7144,12,97489,18
7138,12,96852,19
7130,13,93980,1
7147,13,93995,2
7143,13,94339,3
7131,13,94071,4
7129,13,94512,5
7145,13,94233,6
7140,13,95846,7
7137,13,95685,8
7142,13,95727,9
7146,13,95904,10
7139,13,95706,11
7136,13,95481,12
7134,13,96153,13
7132,13,96404,14
7133,13,96184,15
7128,13,96431,16
7135,13,95580,17
7144,13,96979,18
7138,13,97312,19
7130,14,93877,1
7147,14,94091,2
7143,14,94283,3
7129,14,94241,4
7145,14,93731,5
7140,14,95615,6
7137,14,95437,7
7142,14,95764,8
7146,14,95674,9
7131,14,122562,10
7139,14,96359,11
7134,14,95690,12
7132,14,95946,13
7133,14,95901,14
7128,14,96188,15
7144,14,96992,16
7136,14,114202,17
7138,14,97918,18
7135,14,114144,19
7130,15,94183,1
7147,15,93960,2
7143,15,94294,3
7129,15,94384,4
7145,15,93710,5
7140,15,95467,6
7137,15,95270,7
7142,15,95379,8
7131,15,92270,9
7146,15,96482,10
7139,15,95660,11
7134,15,95635,12
7132,15,95239,13
7133,15,95483,14
7128,15,95890,15
7136,15,94773,16
7144,15,98370,17
7138,15,96449,18
7135,15,94547,19
7130,16,94418,1
7147,16,93794,2
7143,16,93818,3
7129,16,93816,4
7145,16,93287,5
7140,16,95030,6
7137,16,95306,7
7131,16,93048,8
7142,16,96158,9
7146,16,95806,10
7139,16,95054,11
7134,16,95578,12
7132,16,95446,13
7133,16,95690,14
7128,16,95508,15
7136,16,94775,16
7144,16,96942,17
7138,16,97043,18
7135,16,94630,19
7130,17,94055,1
7147,17,94073,2
7143,17,93468,3
7129,17,94183,4
7145,17,93531,5
7131,17,93045,6
7140,17,96283,7
7137,17,96218,8
