sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
2018-17-R,7145,1,1,5237062,1,,53,25,1,25,,,
2018-17-R,7147,2,2,5249981,2,,53,18,1,18,12919,,
2018-17-R,7143,3,3,5251357,3,,53,15,1,15,14295,,
2018-17-R,7129,4,4,5256557,15,,53,12,1,12,19495,,
2018-17-R,7131,5,5,5288060,4,,53,10,1,10,50998,,
2018-17-R,7130,6,6,5306935,8,,53,8,1,8,"01:09,87",,
2018-17-R,7151,7,7,5316441,9,,53,6,1,6,"01:19,38",,
2018-17-R,7132,8,8,5324260,5,,53,4,1,4,"01:27,20",,
2018-17-R,7152,9,9,5325117,11,3,53,2,1,2,"01:28,06",,
2018-17-R,7146,10,10,,13,,52,1,1,1,+1 lap,,
2018-17-R,7134,11,11,,7,,52,0,1,0,+1 lap,,
2018-17-R,7133,12,12,,20,15,52,0,1,0,+1 lap,,
2018-17-R,7141,13,13,,6,,52,0,1,0,+1 lap,,
2018-17-R,7136,14,14,,18,,52,0,1,0,+1 lap,,
2018-17-R,7128,15,15,,19,,52,0,1,0,+1 lap,,
2018-17-R,7144,16,16,,17,,52,0,1,0,+1 lap,,
2018-17-R,7138,17,17,,14,,52,0,1,0,+1 lap,,
2018-17-R,7137,18,DNF,,10,,38,0,1,0,,,Mechanical
2018-17-R,7140,19,DNF,,16,,37,0,1,0,,,Engine
2018-17-R,7139,20,DNF,,12,,8,0,1,0,,,Collision damage
