entrantId,lap,time,pos
7145,1,134661,1
7147,1,142875,2
7130,1,144248,3
7131,1,144723,4
7137,1,147322,5
7129,1,148804,6
7132,1,149795,7
7152,1,150399,8
7143,1,152833,9
7151,1,153936,10
7146,1,155068,11
7133,1,157243,12
7134,1,158457,13
7136,1,160620,14
7138,1,162170,15
7139,1,163596,16
7128,1,165473,17
7144,1,166351,18
7141,1,167566,19
7145,2,168297,1
7147,2,161312,2
7130,2,160620,3
7131,2,162354,4
7137,2,160666,5
7129,2,160671,6
7132,2,160774,7
7152,2,161012,8
7143,2,159311,9
7151,2,159877,10
7146,2,159949,11
7133,2,159882,12
7134,2,159817,13
7136,2,159334,14
7138,2,160184,15
7139,2,159880,16
7128,2,159470,17
7144,2,159798,18
7141,2,159332,19
7145,3,156051,1
7147,3,156431,2
7130,3,157771,3
7131,3,156265,4
7137,3,156346,5
7129,3,157203,6
7132,3,157212,7
7152,3,157046,8
7143,3,157091,9
7151,3,156867,10
7146,3,157126,11
7133,3,156508,12
7134,3,156068,13
7136,3,155297,14
7138,3,154410,15
7139,3,154431,16
7128,3,155614,17
7144,3,155575,18
7141,3,157549,19
7145,4,164238,1
7147,4,163770,2
7130,4,163017,3
7131,4,162815,4
7137,4,162261,5
7129,4,160519,6
7132,4,160062,7
7152,4,159780,8
7143,4,159411,9
7151,4,158542,10
7146,4,157471,11
7133,4,156602,12
7134,4,156419,13
7136,4,155935,14
7138,4,155190,15
7139,4,154265,16
7128,4,152260,17
7144,4,151635,18
7141,4,151460,19
7145,5,103982,1
7147,5,104776,2
7130,5,104870,3
7131,5,105198,4
7137,5,105931,5
7129,5,106167,6
7132,5,106573,7
7152,5,107301,8
7143,5,107363,9
7151,5,108054,10
7146,5,108431,11
7133,5,108535,12
7134,5,108638,13
7136,5,108819,14
7139,5,108778,15
7138,5,109891,16
7128,5,109545,17
7144,5,109760,18
7141,5,108275,19
7145,6,104686,1
7147,6,105632,2
7130,6,105497,3
7137,6,106335,4
7129,6,107416,5
7132,6,107177,6
7143,6,106601,7
7152,6,108763,8
7151,6,107897,9
7146,6,107847,10
7131,6,115382,11
7133,6,107975,12
7134,6,108004,13
7136,6,108315,14
7139,6,108618,15
7138,6,108767,16
7128,6,109092,17
7144,6,109422,18
7141,6,108985,19
7145,7,128384,1
7147,7,128859,2
7130,7,129512,3
7137,7,131538,4
7129,7,132377,5
7143,7,131879,6
7132,7,133568,7
7152,7,133500,8
7151,7,133849,9
7133,7,135068,10
7146,7,136712,11
7134,7,135913,12
7136,7,135505,13
7139,7,135634,14
7138,7,135633,15
7128,7,135522,16
7144,7,136074,17
7141,7,135944,18
7147,8,135002,1
7130,8,135199,2
7129,8,132129,3
7143,8,132348,4
7145,8,147462,5
7152,8,132194,6
7151,8,131883,7
7133,8,130011,8
7146,8,129924,9
7134,8,130115,10
7136,8,130450,11
7139,8,129753,12
7138,8,129740,13
7137,8,146003,14
7128,8,130457,15
7144,8,130063,16
7141,8,130228,17
7132,8,144915,18
7147,9,105111,1
7130,9,104412,2
7129,9,103861,3
7143,9,104367,4
7145,9,104895,5
7152,9,105919,6
7151,9,106079,7
7133,9,106208,8
7146,9,106167,9
7134,9,106424,10
7136,9,106648,11
7139,9,107010,12
7137,9,106305,13
7138,9,107758,14
7128,9,107635,15
7144,9,107682,16
7132,9,107035,17
7141,9,108424,18
7147,10,104981,1
7130,10,105055,2
7129,10,104593,3
7143,10,104045,4
7145,10,105144,5
7152,10,106374,6
7151,10,106885,7
7133,10,106898,8
7146,10,107018,9
7134,10,107060,10
7136,10,107209,11
7137,10,106556,12
7139,10,108250,13
7138,10,107667,14
7128,10,107693,15
7144,10,108120,16
7132,10,107875,17
7141,10,108159,18
7147,11,105034,1
7130,11,105372,2
7129,11,104670,3
7143,11,104374,4
7145,11,104924,5
7152,11,106545,6
7151,11,106673,7
7133,11,106910,8
7146,11,106878,9
7134,11,106987,10
7136,11,107419,11
7137,11,107613,12
7139,11,107849,13
7138,11,107937,14
7128,11,107885,15
7132,11,107224,16
7144,11,109085,17
7141,11,108549,18
7147,12,105128,1
7130,12,105257,2
7129,12,104602,3
7143,12,104523,4
7145,12,105192,5
7152,12,107090,6
7151,12,106904,7
7133,12,107093,8
7146,12,107026,9
7134,12,107176,10
7136,12,107284,11
7137,12,107112,12
7139,12,107603,13
7138,12,107732,14
7128,12,107811,15
7132,12,107494,16
7144,12,108499,17
7141,12,108253,18
7147,13,104854,1
7130,13,105338,2
7129,13,105117,3
7143,13,104875,4
7145,13,105021,5
7152,13,107439,6
7151,13,107239,7
7133,13,107927,8
7146,13,107753,9
7134,13,107675,10
7136,13,107560,11
7137,13,107440,12
7139,13,107559,13
7138,13,107630,14
7128,13,107827,15
7132,13,108093,16
7144,13,108313,17
7141,13,108430,18
7147,14,104579,1
7130,14,104921,2
7129,14,104794,3
7143,14,105032,4
7145,14,104767,5
7152,14,107459,6
7151,14,107342,7
7146,14,107187,8
7133,14,109302,9
7134,14,108278,10
7136,14,107653,11
7137,14,107562,12
7139,14,107798,13
7138,14,107827,14
7128,14,107923,15
7132,14,108047,16
7144,14,107523,17
7141,14,107559,18
7147,15,104858,1
7129,15,105042,2
7130,15,107097,3
7143,15,105176,4
7145,15,105363,5
7152,15,107543,6
7151,15,107530,7
7146,15,107368,8
7133,15,107725,9
7134,15,107714,10
7136,15,107721,11
7137,15,108199,12
7139,15,107694,13
7138,15,107983,14
7128,15,107766,15
7132,15,107581,16
7144,15,107899,17
7141,15,107894,18
7147,16,106227,1
7129,16,104631,2
7143,16,105100,3
7145,16,104884,4
7130,16,125214,5
7151,16,107428,6
7152,16,109844,7
7146,16,107122,8
7133,16,107638,9
7134,16,107571,10
7136,16,107635,11
7137,16,108006,12
7139,16,107721,13
7138,16,107700,14
7128,16,107652,15
7132,16,107796,16
7144,16,108201,17
7141,16,109007,18
7129,17,104607,1
7143,17,106678,2
7145,17,104974,3
7147,17,124439,4
7130,17,103602,5
7151,17,106562,6
7152,17,108494,7
7146,17,108374,8
7133,17,108629,9
7134,17,108571,10
7136,17,108324,11
7137,17,107931,12
7139,17,108017,13
7138,17,107943,14
7128,17,107899,15
7132,17,107730,16
7144,17,107631,17
7141,17,107358,18
7129,18,104467,1
7145,18,105155,2
7147,18,103095,3
7130,18,103385,4
7143,18,121596,5
7151,18,106275,6
7146,18,106669,7
7152,18,108526,8
7133,18,107769,9
7134,18,107901,10
7136,18,107816,11
7137,18,107795,12
7139,18,107762,13
7138,18,107709,14
7128,18,107504,15
7132,18,107326,16
7144,18,107281,17
7141,18,107383,18
7129,19,104294,1
7145,19,104263,2
7147,19,103615,3
7130,19,103775,4
7143,19,103465,5
7151,19,106040,6
7146,19,105734,7
7133,19,106543,8
7134,19,106779,9
7136,19,107634,10
7137,19,107643,11
7139,19,107735,12
7138,19,107603,13
7128,19,107404,14
7132,19,107373,15
7144,19,107299,16
7141,19,106629,17
7152,19,124792,18
7129,20,104358,1
7145,20,103988,2
7147,20,103929,3
7130,20,103897,4
7143,20,103793,5
7151,20,106065,6
7146,20,105928,7
7133,20,106577,8
7134,20,106801,9
7136,20,106987,10
7137,20,107304,11
7139,20,107378,12
7138,20,107457,13
7128,20,107669,14
7132,20,107370,15
7144,20,106970,16
7141,20,107048,17
7152,20,105419,18
7129,21,103983,1
7145,21,104186,2
7147,21,104397,3
7130,21,103818,4
7143,21,103715,5
7151,21,106188,6
7146,21,105719,7
7133,21,106346,8
7134,21,106346,9
7136,21,106810,10
7137,21,106944,11
7139,21,107035,12
7138,21,107275,13
7128,21,107695,14
7132,21,107771,15
7144,21,107405,16
7141,21,107349,17
7152,21,106608,18
7129,22,103868,1
7145,22,104119,2
