entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
7145,1,1,5980382,1,,55,25,1,25,,,
7130,2,2,5982963,3,,55,18,1,18,2581,,
7143,3,3,5993088,6,,55,15,1,15,12706,,
7129,4,4,5995761,5,,55,12,1,12,15379,,
7147,5,5,6028339,2,,55,10,1,10,47957,,
7146,6,6,6052930,11,,55,8,1,8,"01:12,55",,
7137,7,7,6071171,8,,55,6,1,6,"01:30,79",,
7151,8,8,6071657,14,,55,4,1,4,"01:31,28",,
7132,9,9,,7,,54,2,1,2,+1 lap,,
7139,10,10,,13,,54,1,1,1,+1 lap,,
7136,11,11,,15,,54,0,1,0,+1 lap,15000,
7141,12,12,,16,,54,0,1,0,+1 lap,,
7138,13,13,,20,,54,0,1,0,+1 lap,,
7128,14,14,,18,,54,0,1,0,+1 lap,,
7144,15,15,,19,,54,0,1,0,+1 lap,,
7134,16,DNF,,17,,46,0,1,0,,,Engine
7152,17,DNF,,9,,44,0,1,0,,5000,Engine
7133,18,DNF,,12,,24,0,1,0,,,Power loss
7131,19,DNF,,4,,6,0,1,0,,,Power loss
7140,20,DNF,,10,,0,0,1,0,,,Collision
