sessionId,entrantId,positionOrder,positionText,laps,time
2019-04-FP1,7178,1,1,5,107497
2019-04-FP1,7177,2,2,4,109598
2019-04-FP1,7161,3,3,1,
2019-04-FP1,7158,4,4,1,
2019-04-FP1,7170,5,5,1,
2019-04-FP1,7166,6,6,1,
2019-04-FP1,7172,7,7,1,
2019-04-FP1,7176,8,8,1,
2019-04-FP1,7168,9,9,1,
2019-04-FP1,7175,10,10,1,
2019-04-FP1,7173,11,11,3,
2019-04-FP1,7167,12,12,1,
2019-04-FP1,7157,13,13,1,
2019-04-FP1,7169,14,14,1,
2019-04-FP1,7162,15,15,1,
2019-04-FP1,7160,16,16,1,
2019-04-FP1,7163,17,17,1,
2019-04-FP1,7165,18,18,1,
