sessionId,entrantId,positionOrder,positionText,laps,time
2019-04-Q1,7162,1,EX,5,101335
2019-04-Q1,7178,2,2,,101426
2019-04-Q1,7171,3,3,,101614
2019-04-Q1,7170,4,4,,101727
2019-04-Q1,7172,5,5,,101936
2019-04-Q1,7174,6,6,,102026
2019-04-Q1,7177,7,7,,102042
2019-04-Q1,7160,8,EX,,102059
2019-04-Q1,7176,9,9,,102140
2019-04-Q1,7167,10,10,,102154
2019-04-Q1,7163,11,11,,102249
2019-04-Q1,7168,12,12,,102324
2019-04-Q1,7158,13,13,,102371
2019-04-Q1,7166,14,14,,102382
2019-04-Q1,7157,15,15,,102486
2019-04-Q1,7165,16,16,8,102630
2019-04-Q1,7161,17,17,10,103407
2019-04-Q1,7169,18,18,8,103427
2019-04-Q1,7173,19,19,9,105062
2019-04-Q1,7175,20,20,8,105455
