entrantId,lap,time,timeOfDay,annotation
7168,5,21013,16:23:10,
7160,6,21401,16:25:08,
7166,7,20118,16:26:55,
7176,7,20776,16:27:02,
7169,8,21325,16:28:49,
7158,9,19819,16:30:25,
7163,10,20939,16:32:13,
7165,10,23099,16:32:27,
7157,10,20884,16:32:28,
7177,11,19981,16:33:45,
7174,12,20006,16:35:24,
7172,12,19755,16:35:58,
7167,12,20720,16:36:16,
7171,13,19993,16:37:17,
7170,14,20973,16:39:16,
7175,14,15069,16:40:06,Drive-through
7175,23,21037,16:57:00,
7173,25,20475,17:00:30,
7178,34,20382,17:14:53,
7169,34,20870,17:16:30,
7161,34,20906,17:16:33,
7173,38,20751,17:24:45,
7158,39,22080,17:25:02,
7166,39,20859,17:26:07,
7175,42,20703,17:33:14,
7178,47,19857,17:39:16,
