entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
7174,1,1,5512942,1,,51,25,1,25,,,
7171,2,2,5514466,2,,51,18,1,18,1524,,
7177,3,3,5524681,3,,51,15,1,15,11739,,
7170,4,4,5530435,4,,51,12,1,12,17493,,
7178,5,5,5582049,8,,51,11,1,11,"01:09,11",,
7163,6,6,5589358,5,,51,8,1,8,"01:16,42",,
7172,7,7,5596768,9,,51,6,1,6,"01:23,83",,
7158,8,8,5613210,7,,51,4,1,4,"01:40,27",,
7165,9,9,5616758,13,,51,2,1,2,"01:43,82",,
7160,10,10,,PL,,50,1,1,1,+1 lap,,
7167,11,11,,11,,50,0,1,0,+1 lap,,
7176,12,12,,17,10,50,0,1,0,+1 lap,,
7166,13,13,,12,,50,0,1,0,+1 lap,,
7169,14,14,,15,,50,0,1,0,+1 lap,,
7173,15,15,,16,,49,0,1,0,+2 laps,,
7175,16,16,,PL,,49,0,1,0,+2 laps,,
7162,17,DNF,,PL,5,38,0,1,0,,,Driveshaft
7161,18,DNF,,14,,38,0,1,0,,,Brakes
7168,19,DNF,,6,,33,0,1,0,,,Collision damage
7157,20,DNF,,10,,31,0,1,0,,,Collision damage
