sessionId,entrantId,positionOrder,positionText,laps,time
2019-16-FP3,7164,1,1,14,92733
2019-16-FP3,7159,2,2,15,93049
2019-16-FP3,7171,3,3,19,93129
2019-16-FP3,7174,4,4,18,93354
2019-16-FP3,7170,5,5,12,94227
2019-16-FP3,7182,6,6,17,94308
2019-16-FP3,7181,7,7,21,94371
2019-16-FP3,7169,8,8,13,94421
2019-16-FP3,7158,9,9,15,94527
2019-16-FP3,7183,10,10,15,94546
2019-16-FP3,7180,11,11,16,94564
2019-16-FP3,7157,12,12,14,94586
2019-16-FP3,7172,13,13,18,94607
2019-16-FP3,7176,14,14,15,94766
2019-16-FP3,7163,15,15,7,94860
2019-16-FP3,7165,16,16,16,94898
2019-16-FP3,7160,17,17,19,95714
2019-16-FP3,7173,18,18,18,96011
2019-16-FP3,7168,19,19,4,96081
2019-16-FP3,7175,20,20,19,96942
