sessionId,entrantId,positionOrder,positionText,laps,time
2020-01-FP1,7200,1,1,42,64816
2020-01-FP1,7203,2,2,38,65172
2020-01-FP1,7199,3,3,37,65418
2020-01-FP1,7201,4,4,41,65431
2020-01-FP1,7192,5,5,33,65512
2020-01-FP1,7186,6,6,41,65621
2020-01-FP1,7196,7,7,29,65701
2020-01-FP1,7185,8,8,29,65860
2020-01-FP1,7195,9,9,27,65907
2020-01-FP1,7193,10,10,31,65924
2020-01-FP1,7194,11,11,34,66074
2020-01-FP1,7187,12,12,32,66077
2020-01-FP1,7198,13,13,22,66270
2020-01-FP1,7204,14,14,24,66360
2020-01-FP1,7189,15,15,28,66365
2020-01-FP1,7191,16,16,25,66404
2020-01-FP1,7202,17,17,27,66495
2020-01-FP1,7188,18,18,31,66906
2020-01-FP1,7197,19,19,19,66943
2020-01-FP1,7190,20,20,6,106361
