entrantId,lap,time,pos
7203,1,106834,1
7200,1,110341,2
7193,1,111398,3
7196,1,112724,4
7194,1,113996,5
7185,1,116335,6
7192,1,117098,7
7186,1,119936,8
7197,1,122355,9
7198,1,123478,10
7202,1,124620,11
7195,1,128433,12
7188,1,129418,13
7204,1,130612,14
7201,1,138942,15
7189,1,155829,16
7190,1,158359,17
7187,1,166818,18
7203,2,148572,1
7200,2,146653,2
7193,2,146424,3
7196,2,145960,4
7194,2,145696,5
7185,2,144786,6
7192,2,145389,7
7186,2,144371,8
7197,2,144130,9
7198,2,143856,10
7202,2,144480,11
7195,2,142262,12
7188,2,142833,13
7204,2,143099,14
7201,2,135826,15
7190,2,117221,16
7189,2,120769,17
7187,2,112400,18
7203,3,137078,1
7200,3,136551,2
7193,3,136385,3
7196,3,136967,4
7194,3,137382,5
7185,3,137351,6
7192,3,137193,7
7186,3,137331,8
7197,3,137237,9
7198,3,137987,10
7202,3,137132,11
7195,3,137241,12
7188,3,137245,13
7204,3,136806,14
7201,3,136430,15
7190,3,137211,16
7189,3,137105,17
7187,3,135684,18
7203,4,133468,1
7200,4,134621,2
7193,4,135131,3
7196,4,134650,4
7194,4,134242,5
7185,4,135385,6
7192,4,134942,7
7186,4,134602,8
7197,4,134702,9
7198,4,134439,10
7202,4,134898,11
7195,4,133812,12
7188,4,133727,13
7204,4,133809,14
7201,4,134153,15
7190,4,134294,16
7189,4,135592,17
7187,4,136774,18
7203,5,134247,1
7200,5,133693,2
7193,5,133400,3
7196,5,133442,4
7194,5,133467,5
7185,5,132873,6
7192,5,132602,7
7186,5,132713,8
7197,5,132980,9
7198,5,133705,10
7202,5,133501,11
7195,5,134825,12
7188,5,134383,13
7204,5,134220,14
7201,5,134103,15
7190,5,134068,16
7189,5,133244,17
7187,5,132292,18
7203,6,142886,1
7200,6,141511,2
7193,6,140751,3
7196,6,139882,4
7194,6,138951,5
7185,6,137585,6
7192,6,137360,7
7186,6,135809,8
7197,6,133715,9
7198,6,131793,10
7202,6,130896,11
7188,6,131365,12
7189,6,128229,13
7187,6,127016,14
7190,6,130396,15
7203,7,121252,1
7200,7,123336,2
7193,7,124466,3
7196,7,126021,4
7194,7,127138,5
7185,7,127885,6
7192,7,129425,7
7186,7,130596,8
7197,7,132074,9
7198,7,133823,10
7202,7,134695,11
7189,7,130389,12
7187,7,131088,13
7190,7,139256,14
7203,8,168101,1
