entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
7200,1,1,8375060,1,,59,26,1,26,,,
7203,2,2,8379940,2,,59,18,1,18,4880,,
7196,3,3,8383124,4,,59,15,1,15,8064,,
7185,4,4,8385477,8,,59,12,1,12,10417,,
7192,5,5,8390710,7,1,59,10,1,10,15650,,
7186,6,6,8393943,11,,59,8,1,8,18883,,
7197,7,7,8396816,12,,59,6,1,6,21756,,
7193,8,8,8403405,5,,59,4,1,4,28345,,
7189,9,9,8404830,13,,59,2,1,2,29770,5000,
7187,10,10,8405043,14,,59,1,1,1,29983,,
7202,11,11,8407464,18,,59,0,1,0,32404,,
7190,12,12,8417096,15,,59,0,1,0,42036,,
7194,13,DNF,,6,,42,0,1,0,,,Accident
7198,14,DNF,,10,,7,0,1,0,,,Brakes
7188,15,DNF,,19,,6,0,1,0,,,Collision damage
7195,16,DNF,,20,,5,0,1,0,,,Collision
7204,17,DNF,,17,,5,0,1,0,,,Collision
7201,18,DNF,,9,,5,0,1,0,,,Collision
7199,19,DNF,,3,,0,0,1,0,,,Collision
7191,20,DNF,,16,,0,0,1,0,,,Collision
