sessionId,entrantId,positionOrder,positionText,laps,time
2020-11-Q1,7199,1,1,,86319
2020-11-Q1,7203,2,2,,86573
2020-11-Q1,7200,3,3,,86620
2020-11-Q1,7186,4,4,,86829
2020-11-Q1,7185,5,5,,86836
2020-11-Q1,7193,6,6,,86857
2020-11-Q1,7191,7,7,,87072
2020-11-Q1,7198,8,8,,87086
2020-11-Q1,7187,9,9,,87107
2020-11-Q1,7192,10,10,,87120
2020-11-Q1,7196,11,11,,87126
2020-11-Q1,7195,12,12,,87231
2020-11-Q1,7197,13,13,,87285
2020-11-Q1,7201,14,14,,87378
2020-11-Q1,7204,15,15,,87532
2020-11-Q1,7190,16,16,10,87552
2020-11-Q1,7202,17,17,9,87564
2020-11-Q1,7188,18,18,9,87812
2020-11-Q1,7189,19,19,8,87817
2020-11-Q1,7207,20,20,10,88021
