entrantId,lap,time,timeOfDay,annotation
7200,1,1163979,17:15:42,Red flag
7199,1,1164529,17:15:44,Red flag
7192,1,1163442,17:15:46,Red flag
7196,1,1161607,17:15:51,Red flag
7185,1,1159722,17:15:56,Red flag
7203,1,1159205,17:15:57,Red flag
7191,1,1160469,17:16:02,Red flag
7198,1,1160946,17:16:04,Red flag
7186,1,1153898,17:16:13,Red flag
7193,1,1154255,17:16:14,Red flag
7204,1,1154906,17:16:18,Red flag
7194,1,1154123,17:16:19,Red flag
7201,1,1157291,17:16:21,Red flag
7195,1,1156990,17:16:23,Red flag
7187,1,1157042,17:16:26,Red flag
7188,1,1157995,17:16:29,Red flag
7189,1,1161539,17:16:31,Red flag
7202,1,1163297,17:16:34,Red flag
7197,1,1163014,17:16:36,Red flag
7195,3,38297,18:41:46,
7203,4,24936,18:43:43,
7185,16,24617,19:06:25,
7198,17,24076,19:07:58,
7197,17,37317,19:08:09,
7189,17,32278,19:08:14,
7186,18,24679,19:09:33,
7200,19,24061,19:10:46,
7196,19,24172,19:11:03,
7199,20,24622,19:12:27,
7192,20,24317,19:12:34,
7202,20,24029,19:13:06,
7204,20,24145,19:13:16,
7187,20,24774,19:13:19,
7201,21,24511,19:14:28,
7188,21,24248,19:14:54,
7193,23,25199,19:17:53,
7191,25,24398,19:21:01,
7203,25,24734,19:21:09,
7195,27,25924,19:24:46,
7197,33,24135,19:34:29,
7199,34,26950,19:34:47,
7196,34,23848,19:35:11,
7198,34,25254,19:35:41,
7200,35,24345,19:36:16,
7192,36,24589,19:38:16,
7185,36,24817,19:38:50,
7188,37,24024,19:41:05,
7186,38,24666,19:41:45,
7203,38,24675,19:42:04,
7201,39,25502,19:43:27,
7202,39,27146,19:44:08,
7187,39,25444,19:44:14,
7193,40,24855,19:45:27,
7189,40,25270,19:45:59,
7199,46,23906,19:53:52,
7204,53,24836,20:07:02,
7195,53,25793,20:07:38,
