sessionId,entrantId,positionOrder,positionText,laps,time
2020-16-FP1,7212,1,1,49,54546
2020-16-FP1,7199,2,2,29,54722
2020-16-FP1,7196,3,3,18,54811
2020-16-FP1,7203,4,4,44,54868
2020-16-FP1,7197,5,5,40,55011
2020-16-FP1,7191,6,6,37,55166
2020-16-FP1,7198,7,7,49,55273
2020-16-FP1,7187,8,8,40,55281
2020-16-FP1,7185,9,9,39,55379
2020-16-FP1,7193,10,10,35,55449
2020-16-FP1,7194,11,11,41,55558
2020-16-FP1,7192,12,12,33,55716
2020-16-FP1,7201,13,13,41,55757
2020-16-FP1,7189,14,14,32,55783
2020-16-FP1,7204,15,15,35,55858
2020-16-FP1,7186,16,16,47,56078
2020-16-FP1,7195,17,17,37,56130
2020-16-FP1,7188,18,18,48,56764
2020-16-FP1,7211,19,19,24,57077
2020-16-FP1,7213,20,20,33,57187
