sessionId,entrantId,positionOrder,positionText,laps,time
2021-02-FP2,7233,1,1,25,75551
2021-02-FP2,7229,2,2,26,75561
2021-02-FP2,7221,3,3,30,75629
2021-02-FP2,7236,4,4,30,75834
2021-02-FP2,7235,5,5,28,76371
2021-02-FP2,7222,6,6,25,76411
2021-02-FP2,7226,7,7,26,76419
2021-02-FP2,7216,8,8,23,76485
2021-02-FP2,7234,9,9,25,76513
2021-02-FP2,7225,10,10,25,76737
2021-02-FP2,7227,11,11,27,76817
2021-02-FP2,7218,12,12,29,76823
2021-02-FP2,7223,13,13,27,76835
2021-02-FP2,7228,14,14,5,76999
2021-02-FP2,7217,15,15,27,77092
2021-02-FP2,7232,16,16,31,77179
2021-02-FP2,7219,17,17,27,77273
2021-02-FP2,7215,18,18,24,77281
2021-02-FP2,7230,19,19,28,77350
2021-02-FP2,7220,20,20,16,77857
