entrantId,lap,time,pos
7228,1,86190,1
7229,1,87702,2
7235,1,89442,3
7233,1,90174,4
7215,1,91083,5
7222,1,91943,6
7227,1,92775,7
7236,1,93500,8
7216,1,93959,9
7223,1,94655,10
7225,1,95051,11
7217,1,95498,12
7221,1,96030,13
7219,1,96748,14
7234,1,97299,15
7230,1,97640,16
7232,1,98084,17
7226,1,98543,18
7218,1,99177,19
7220,1,99826,20
7228,2,83561,1
7229,2,83798,2
7235,2,84948,3
7233,2,85251,4
7215,2,85429,5
7222,2,85241,6
7227,2,85631,7
7236,2,85970,8
7216,2,86500,9
7223,2,86882,10
7225,2,87001,11
7217,2,87277,12
7221,2,87333,13
7219,2,87611,14
7234,2,87724,15
7230,2,88135,16
7226,2,87714,17
7232,2,88774,18
7218,2,88361,19
7220,2,88311,20
7228,3,83250,1
7229,3,83425,2
7235,3,84403,3
7233,3,84121,4
7215,3,84680,5
7222,3,84792,6
7227,3,85236,7
7236,3,85249,8
7216,3,85746,9
7223,3,85698,10
7225,3,86054,11
7217,3,86125,12
7221,3,86014,13
7219,3,86177,14
7234,3,86328,15
7230,3,86736,16
7226,3,86760,17
7232,3,87083,18
7218,3,87194,19
7220,3,87309,20
7228,4,83209,1
7229,4,82938,2
7235,4,84198,3
7233,4,84192,4
7215,4,84436,5
7222,4,84723,6
7227,4,84858,7
7236,4,84828,8
7216,4,84945,9
7223,4,85097,10
7225,4,85293,11
7217,4,85312,12
7221,4,85503,13
7219,4,85585,14
7234,4,85723,15
7230,4,86209,16
7226,4,86189,17
7232,4,86223,18
7218,4,86338,19
7220,4,86368,20
7228,5,83206,1
7229,5,83118,2
7235,5,84269,3
7233,5,84784,4
7215,5,84411,5
7222,5,84067,6
7227,5,84449,7
7236,5,84759,8
7216,5,84950,9
7223,5,85177,10
7225,5,85044,11
7217,5,85201,12
7221,5,85250,13
7219,5,85363,14
7234,5,85571,15
7226,5,84825,16
7230,5,87216,17
7232,5,86348,18
7218,5,86276,19
7220,5,86945,20
7228,6,83227,1
7229,6,83062,2
7235,6,84195,3
7233,6,83802,4
7215,6,84468,5
7222,6,84544,6
7227,6,84906,7
7236,6,84896,8
7216,6,85130,9
7223,6,85115,10
7225,6,85139,11
7217,6,85152,12
7221,6,85194,13
7219,6,85421,14
7234,6,85437,15
7226,6,85148,16
7230,6,86032,17
7232,6,86158,18
7218,6,86574,19
7220,6,86904,20
7228,7,83090,1
7229,7,83261,2
7235,7,84062,3
7233,7,83896,4
7215,7,84212,5
7222,7,84305,6
7227,7,84617,7
7236,7,84460,8
7216,7,84853,9
7223,7,84966,10
7225,7,85112,11
7217,7,85047,12
7221,7,85027,13
7219,7,85434,14
7234,7,85294,15
7230,7,86324,16
7232,7,86109,17
7218,7,86037,18
7220,7,86460,19
7228,8,85483,1
7229,8,89253,2
7235,8,91332,3
7233,8,92075,4
7215,8,92522,5
7222,8,93466,6
7227,8,93985,7
7236,8,94859,8
7216,8,94755,9
7223,8,94310,10
7225,8,95339,11
7217,8,94995,12
7221,8,94747,13
7219,8,95413,14
7234,8,98019,15
7232,8,98318,16
7230,8,100855,17
7218,8,100465,18
7220,8,101651,19
7228,9,134880,1
7229,9,131611,2
7235,9,122691,3
7233,9,122218,4
7215,9,120615,5
7222,9,119695,6
7227,9,117570,7
7236,9,117331,8
7216,9,117441,9
7223,9,117266,10
7225,9,116562,11
7217,9,116652,12
7221,9,117318,13
7219,9,116450,14
7232,9,114735,15
7230,9,112822,16
7220,9,111289,17
7218,9,114725,18
7234,9,160997,19
7228,10,139896,1
7229,10,138416,2
7235,10,137414,3
7233,10,136909,4
7215,10,136222,5
7222,10,136144,6
7227,10,135246,7
7236,10,133662,8
7216,10,131688,9
7223,10,131431,10
7225,10,130488,11
7217,10,130428,12
7221,10,129701,13
7219,10,128604,14
7230,10,121225,15
7220,10,118697,16
7232,10,122194,17
7218,10,119384,18
7234,10,94073,19
7228,11,83251,1
7229,11,83608,2
7235,11,84637,3
7233,11,85078,4
7215,11,85621,5
7222,11,85649,6
7227,11,86308,7
7236,11,86753,8
7216,11,87143,9
7225,11,86810,10
7223,11,88119,11
7217,11,87601,12
7221,11,87610,13
7219,11,87580,14
7230,11,87945,15
7232,11,87634,16
7218,11,87806,17
7220,11,89483,18
7234,11,84691,19
7228,12,83297,1
7229,12,83415,2
7235,12,84059,3
7233,12,84108,4
7215,12,84598,5
7222,12,84816,6
7227,12,85262,7
7236,12,85296,8
7216,12,85919,9
7225,12,86059,10
7223,12,86158,11
7217,12,86475,12
7221,12,86572,13
7219,12,86762,14
7232,12,86442,15
7230,12,88065,16
7218,12,87480,17
7220,12,87754,18
7234,12,84854,19
7228,13,83009,1
7229,13,83038,2
7235,13,83839,3
7233,13,83988,4
7215,13,84619,5
7222,13,84437,6
7227,13,85014,7
7236,13,85179,8
7216,13,85244,9
7225,13,85574,10
7223,13,85340,11
7217,13,85487,12
7221,13,85730,13
7219,13,85986,14
7232,13,86057,15
7230,13,86496,16
7218,13,86425,17
7220,13,87042,18
7234,13,84908,19
7228,14,83155,1
7229,14,83180,2
7235,14,83846,3
7233,14,83881,4
7215,14,84666,5
7222,14,85046,6
7227,14,84952,7
7236,14,84727,8
7216,14,85485,9
7225,14,85265,10
7223,14,85556,11
7217,14,85315,12
7221,14,85350,13
7219,14,85503,14
7232,14,85749,15
7230,14,86657,16
7218,14,86592,17
7220,14,87211,18
7234,14,85239,19
7228,15,83152,1
7229,15,83309,2
7235,15,83786,3
7233,15,84035,4
7215,15,84923,5
7222,15,84989,6
7227,15,84906,7
7236,15,85321,8
7216,15,85077,9
7225,15,85326,10
7223,15,85459,11
7217,15,85604,12
7221,15,85588,13
7219,15,85589,14
7232,15,85522,15
7218,15,85714,16
7230,15,87827,17
7220,15,86891,18
7234,15,86395,19
7228,16,83515,1
7229,16,83250,2
7235,16,83890,3
7233,16,83898,4
7215,16,84705,5
7222,16,84563,6
7227,16,84954,7
7236,16,84988,8
7216,16,85052,9
7225,16,85512,10
7223,16,85438,11
7217,16,85476,12
7221,16,85450,13
7219,16,85541,14
7232,16,85845,15
7218,16,85442,16
7230,16,86352,17
7234,16,84931,18
7220,16,87647,19
7228,17,83263,1
7229,17,83467,2
7235,17,83742,3
7233,17,83731,4
7215,17,84491,5
7222,17,84530,6
7227,17,84623,7
7236,17,84888,8
7216,17,85599,9
7225,17,85264,10
7223,17,85157,11
7217,17,84956,12
7221,17,85133,13
7219,17,85463,14
7232,17,85212,15
7218,17,85419,16
7230,17,85773,17
7234,17,85405,18
7220,17,86744,19
7228,18,83289,1
7229,18,83318,2
7235,18,83758,3
7233,18,83736,4
7215,18,84588,5
7222,18,84394,6
7227,18,84886,7
7236,18,84872,8
7216,18,85179,9
7225,18,85282,10
7223,18,85634,11
7217,18,85695,12
7219,18,85485,13
7232,18,85455,14
7221,18,88954,15
7218,18,85560,16
7234,18,84888,17
7230,18,87943,18
7220,18,86881,19
7228,19,83317,1
7229,19,83407,2
7235,19,83821,3
7233,19,83699,4
7215,19,84479,5
7222,19,84514,6
7227,19,84729,7
7236,19,84768,8
7216,19,84615,9
7225,19,85041,10
7223,19,85195,11
7217,19,85349,12
7219,19,85171,13
7232,19,85448,14
7218,19,85349,15
7234,19,85042,16
7230,19,86159,17
7220,19,86627,18
7221,19,107357,19
7228,20,83362,1
7229,20,83559,2
7235,20,83963,3
7233,20,83840,4
7215,20,84436,5
7222,20,84512,6
7227,20,85167,7
7236,20,85154,8
7216,20,84485,9
7225,20,85219,10
7223,20,85331,11
7217,20,85545,12
7219,20,85447,13
7232,20,85712,14
7218,20,85497,15
7234,20,85269,16
