sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
2021-11-R,7227,1,1,7483199,8,,70,25,1,25,,,
2021-11-R,7229,2,2,7485935,1,,70,18,1,18,2736,,
2021-11-R,7241,3,3,7498217,15,,70,15,1,15,15018,,
2021-11-R,7223,4,4,7498850,9,,70,12,1,12,15651,,
2021-11-R,7221,5,5,7546813,5,,70,11,1,11,"01:03,61",,
2021-11-R,7226,6,6,7559002,16,,70,8,1,8,"01:15,80",,
2021-11-R,7218,7,7,7561109,18,,70,6,1,6,"01:17,91",,
2021-11-R,7232,8,8,7562293,17,,70,4,1,4,"01:19,09",,
2021-11-R,7228,9,9,7563443,3,,70,2,1,2,"01:20,24",,
2021-11-R,7219,10,10,,13,,69,1,1,1,+1 lap,,
2021-11-R,7215,11,11,,11,,69,0,1,0,+1 lap,,
2021-11-R,7230,12,12,,20,,69,0,1,0,+1 lap,,
2021-11-R,7234,13,13,,PL,,69,0,1,0,+1 lap,,
2021-11-R,7220,14,DNF,,19,,3,0,1,0,,,Collision
2021-11-R,7216,15,DNF,,6,,2,0,1,0,,,Collision damage
2021-11-R,7233,16,DNF,,2,,0,0,1,0,,,Collision
2021-11-R,7222,17,DNF,,4,,0,0,1,0,,,Collision
2021-11-R,7240,18,DNF,,7,,0,0,1,0,,,Collision
2021-11-R,7225,19,DNF,,12,,0,0,1,0,,,Collision
2021-11-R,7217,20,DSQ,7485058,10,,70,0,1,0,1859,,
