sessionId,entrantId,positionOrder,positionText,laps,time
2021-12-FP2,7228,1,1,12,104472
2021-12-FP2,7233,2,2,14,104513
2021-12-FP2,7229,3,3,13,104544
2021-12-FP2,7223,4,4,15,104953
2021-12-FP2,7221,5,5,17,104965
2021-12-FP2,7225,6,6,14,105180
2021-12-FP2,7227,7,7,15,105302
2021-12-FP2,7217,8,8,16,105336
2021-12-FP2,7216,9,9,18,105386
2021-12-FP2,7222,10,10,13,105404
2021-12-FP2,7241,11,11,14,105517
2021-12-FP2,7226,12,12,17,105758
2021-12-FP2,7234,13,13,16,105789
2021-12-FP2,7219,14,14,18,105967
2021-12-FP2,7215,15,15,14,106118
2021-12-FP2,7218,16,16,17,106198
2021-12-FP2,7232,17,17,14,106665
2021-12-FP2,7240,18,18,13,106836
2021-12-FP2,7220,19,19,14,107335
2021-12-FP2,7230,20,20,15,107529
