entrantId,lap,time,pos
7228,1,77665,1
7229,1,79399,2
7233,1,80387,3
7221,1,81662,4
7240,1,82599,5
7241,1,83478,6
7223,1,84243,7
7227,1,84840,8
7215,1,85571,9
7234,1,86167,10
7232,1,86802,11
7225,1,87168,12
7216,1,87415,13
7226,1,87952,14
7217,1,88261,15
7243,1,89108,16
7220,1,89556,17
7230,1,89661,18
7222,1,96074,19
7218,1,97259,20
7228,2,74978,1
7229,2,75395,2
7233,2,75861,3
7221,2,76839,4
7240,2,77903,5
7241,2,78168,6
7223,2,78102,7
7227,2,78287,8
7215,2,78441,9
7234,2,78815,10
7232,2,79368,11
7225,2,79480,12
7216,2,79679,13
7226,2,79733,14
7217,2,79832,15
7243,2,79629,16
7220,2,79826,17
7230,2,80292,18
7222,2,76649,19
7218,2,76847,20
7228,3,74813,1
7229,3,75045,2
7233,3,75699,3
7221,3,76483,4
7240,3,77062,5
7241,3,77552,6
7223,3,77532,7
7227,3,77626,8
7215,3,77856,9
7234,3,77772,10
7232,3,77818,11
7225,3,77944,12
7216,3,78278,13
7226,3,78452,14
7217,3,78565,15
7243,3,79283,16
7220,3,79416,17
7230,3,80525,18
7222,3,77812,19
7218,3,77682,20
7228,4,74917,1
7229,4,74825,2
7233,4,75152,3
7221,4,76125,4
7240,4,76978,5
7241,4,77269,6
7223,4,77805,7
7227,4,77623,8
7215,4,77816,9
7234,4,77764,10
7232,4,77888,11
7225,4,77787,12
7216,4,78073,13
7226,4,78017,14
7217,4,78322,15
7243,4,78504,16
7220,4,78921,17
7222,4,77604,18
7218,4,79067,19
7230,4,85287,20
7228,5,74882,1
7229,5,75102,2
7233,5,75169,3
7221,5,76235,4
7240,5,76581,5
7241,5,77044,6
7223,5,78107,7
7227,5,78209,8
7215,5,77625,9
7234,5,77927,10
7232,5,78014,11
7225,5,77927,12
7216,5,77697,13
7226,5,77728,14
7217,5,78010,15
7243,5,78411,16
7220,5,78453,17
7222,5,78371,18
7218,5,77600,19
7230,5,112797,20
7228,6,74900,1
7229,6,75118,2
7233,6,75530,3
7221,6,76138,4
7240,6,76597,5
7241,6,76989,6
7223,6,77955,7
7227,6,77961,8
7215,6,77913,9
7234,6,77915,10
7232,6,78225,11
7225,6,78432,12
7216,6,78241,13
7226,6,78110,14
7217,6,78529,15
7243,6,78229,16
7220,6,78665,17
7222,6,79362,18
7218,6,78334,19
7230,6,77210,20
7228,7,75108,1
7229,7,75430,2
7233,7,75635,3
7221,7,76352,4
7240,7,76596,5
7241,7,77055,6
7223,7,77988,7
7227,7,77966,8
7215,7,78145,9
7234,7,77835,10
7232,7,77873,11
7225,7,77991,12
7216,7,78185,13
7226,7,78488,14
7217,7,78106,15
7243,7,78301,16
7220,7,78251,17
7222,7,78012,18
7218,7,77648,19
7230,7,80767,20
7228,8,75138,1
7229,8,75358,2
7233,8,75237,3
7221,8,76890,4
7240,8,76565,5
7241,8,76814,6
7223,8,77966,7
7227,8,77788,8
7215,8,77926,9
7234,8,78032,10
7232,8,77988,11
7225,8,77947,12
7216,8,77957,13
7226,8,78082,14
7217,8,77806,15
7243,8,78032,16
7220,8,78196,17
7218,8,78241,18
7222,8,81601,19
7230,8,79237,20
7228,9,75133,1
7229,9,74750,2
7233,9,75755,3
7221,9,76552,4
7240,9,76327,5
7241,9,76893,6
7223,9,77745,7
7227,9,77991,8
7215,9,78003,9
7234,9,78555,10
7232,9,78223,11
7225,9,78079,12
7216,9,78531,13
7226,9,78538,14
7217,9,78778,15
7243,9,78429,16
7220,9,78398,17
7218,9,78036,18
7222,9,93499,19
7230,9,78132,20
7228,10,75061,1
7229,10,75126,2
7233,10,75656,3
7221,10,76553,4
7240,10,76710,5
7241,10,76677,6
7223,10,77960,7
7227,10,78251,8
7215,10,78378,9
7234,10,78238,10
7232,10,78351,11
7225,10,78353,12
7216,10,78297,13
7226,10,78327,14
7243,10,78382,15
7217,10,81791,16
7220,10,78485,17
7218,10,77806,18
7222,10,74596,19
7230,10,78011,20
7228,11,75228,1
7229,11,75182,2
7233,11,75685,3
7221,11,76752,4
7240,11,76196,5
7241,11,76760,6
7223,11,77780,7
7227,11,78053,8
7215,11,78302,9
7234,11,78306,10
7232,11,78558,11
7225,11,78373,12
7216,11,78186,13
7226,11,78483,14
7243,11,78491,15
7220,11,78518,16
7218,11,78507,17
7222,11,74728,18
7217,11,93905,19
7230,11,78095,20
7228,12,74917,1
7229,12,75000,2
7233,12,75511,3
7221,12,76491,4
7240,12,76330,5
7241,12,76796,6
7223,12,77440,7
7227,12,77684,8
7215,12,77640,9
7234,12,77988,10
7232,12,78022,11
7225,12,78202,12
7216,12,78150,13
7226,12,78077,14
7243,12,77996,15
7220,12,78552,16
7218,12,78552,17
7222,12,75180,18
7217,12,76404,19
7230,12,77855,20
7228,13,75062,1
7229,13,75109,2
7233,13,75509,3
7221,13,76666,4
7240,13,76318,5
7241,13,76451,6
7223,13,77410,7
7227,13,77427,8
7215,13,77484,9
7234,13,77438,10
7232,13,77696,11
7225,13,77810,12
7216,13,77950,13
7226,13,77999,14
7243,13,77906,15
7218,13,77537,16
7220,13,79940,17
7222,13,75293,18
7217,13,76742,19
7230,13,79576,20
7228,14,75059,1
7229,14,75526,2
7233,14,75476,3
7221,14,76872,4
7240,14,76273,5
7241,14,76631,6
7223,14,77269,7
7227,14,77489,8
7215,14,77407,9
7234,14,77703,10
7232,14,77648,11
7225,14,77599,12
7216,14,77903,13
7226,14,77877,14
7243,14,77921,15
7218,14,77452,16
7220,14,78487,17
7222,14,75687,18
7217,14,76372,19
7230,14,80768,20
7228,15,75138,1
7229,15,75139,2
7233,15,75566,3
7221,15,76313,4
7240,15,76547,5
7241,15,76509,6
7223,15,76759,7
7227,15,77295,8
7215,15,77670,9
7234,15,77555,10
7232,15,77850,11
7225,15,77806,12
7216,15,77680,13
7226,15,77738,14
7243,15,77815,15
7218,15,77186,16
7222,15,77590,17
7220,15,79124,18
7217,15,76587,19
7230,15,78439,20
7228,16,75177,1
7229,16,75161,2
7233,16,75706,3
7221,16,76307,4
7240,16,76276,5
7241,16,76854,6
7223,16,76532,7
7227,16,76956,8
7215,16,77520,9
7234,16,77624,10
7232,16,77550,11
7225,16,77698,12
7216,16,77475,13
7226,16,77810,14
7243,16,77595,15
7218,16,77720,16
7222,16,75256,17
7220,16,78397,18
7217,16,76508,19
7230,16,80582,20
7228,17,75446,1
7229,17,75418,2
7233,17,75695,3
7221,17,76578,4
7240,17,76416,5
7241,17,76865,6
7223,17,76622,7
7227,17,76743,8
7215,17,77093,9
7234,17,77432,10
7232,17,77502,11
7225,17,77429,12
7216,17,77592,13
7226,17,77625,14
7243,17,77918,15
7218,17,77723,16
7222,17,76474,17
7220,17,78156,18
7217,17,76863,19
7230,17,78477,20
7228,18,75331,1
7229,18,75476,2
