sessionId,entrantId,positionOrder,positionText,laps,time
2021-15-Q1,7229,1,1,,105992
2021-15-Q1,7233,2,2,,106396
2021-15-Q1,7222,3,3,,106455
2021-15-Q1,7217,4,4,,107205
2021-15-Q1,7216,5,5,,107238
2021-15-Q1,7221,6,6,,107828
2021-15-Q1,7223,7,7,,107877
2021-15-Q1,7236,8,8,,107924
2021-15-Q1,7227,9,9,,108099
2021-15-Q1,7218,10,10,12,108252
2021-15-Q1,7232,11,11,,108303
2021-15-Q1,7225,12,12,,108322
2021-15-Q1,7215,13,13,,108345
2021-15-Q1,7235,14,14,10,108470
2021-15-Q1,7226,15,15,,108854
2021-15-Q1,7219,16,16,10,109586
2021-15-Q1,7230,17,17,10,109830
2021-15-Q1,7234,18,18,9,111023
2021-15-Q1,7220,19,19,10,113764
2021-15-Q1,7228,20,20,2,
