entrantId,lap,time,timeOfDay,annotation
7215,1,38128,13:05:11,
7233,1,22463,13:05:16,
7218,11,23681,13:21:22,
7225,12,23586,13:22:45,
7220,13,25094,13:24:11,
7227,14,23100,13:25:30,
7232,15,21984,13:26:51,
7234,16,22205,13:28:00,
7229,29,22373,13:45:17,
7235,30,22085,13:47:01,
7221,31,22549,13:48:20,
7219,32,22424,13:50:02,
7228,33,21908,13:50:33,
7217,33,22277,13:51:22,
7225,34,26056,13:53:37,
7215,38,22813,13:58:47,
7223,39,23985,13:59:43,
7222,40,22114,14:00:14,
7233,40,31664,14:01:30,
7236,42,22031,14:03:25,
7216,44,22534,14:06:38,
7218,49,22739,14:14:59,
7220,58,23637,14:28:22,
7233,63,22680,14:33:17,
7233,67,26443,14:39:06,
