entrantId,lap,time,pos
7253,1,96677,1
7245,1,97528,2
7263,1,98365,3
7251,1,99040,4
7265,1,99966,5
7250,1,100671,6
7252,1,101480,7
7261,1,101774,8
7247,1,102873,9
7256,1,103367,10
7246,1,104136,11
7262,1,104379,12
7255,1,104954,13
7258,1,105500,14
7264,1,106166,15
7257,1,106365,16
7249,1,107320,17
7260,1,107446,18
7254,1,113387,19
7248,1,114106,20
7253,2,94389,1
7245,2,94542,2
7263,2,94875,3
7251,2,95274,4
7265,2,95793,5
7250,2,96070,6
7252,2,96176,7
7261,2,96564,8
7247,2,96949,9
7256,2,97169,10
7262,2,97074,11
7246,2,98124,12
7255,2,97576,13
7258,2,97487,14
7264,2,97623,15
7257,2,97782,16
7260,2,97396,17
7249,2,99050,18
7254,2,97539,19
7248,2,97864,20
7253,3,94465,1
7245,3,94550,2
7263,3,94781,3
7251,3,94940,4
7265,3,95502,5
7250,3,95683,6
7261,3,95730,7
7252,3,96848,8
7247,3,96290,9
7256,3,96339,10
7262,3,96210,11
7255,3,95762,12
7246,3,96950,13
7258,3,96727,14
7264,3,96490,15
7257,3,96666,16
7260,3,97198,17
7249,3,97750,18
7254,3,97042,19
7248,3,97242,20
7253,4,94323,1
7245,4,94287,2
7263,4,95061,3
7251,4,94831,4
7265,4,95617,5
7250,4,95591,6
7261,4,95170,7
7252,4,95647,8
7247,4,95955,9
7256,4,95962,10
7262,4,95880,11
7255,4,95642,12
7246,4,95499,13
7258,4,95731,14
7264,4,95936,15
7257,4,95885,16
7260,4,96820,17
7249,4,96966,18
7254,4,96912,19
7248,4,96781,20
7253,5,93963,1
7245,5,94320,2
7263,5,94708,3
7251,5,94710,4
7265,5,95348,5
7250,5,96268,6
7261,5,95248,7
7252,5,95730,8
7247,5,95836,9
7256,5,96836,10
7262,5,96270,11
7255,5,96136,12
7246,5,96385,13
7258,5,95883,14
7264,5,95785,15
7257,5,95962,16
7260,5,96315,17
7249,5,96857,18
7254,5,96621,19
7248,5,97541,20
7253,6,94467,1
7245,6,94227,2
7263,6,94735,3
7251,6,94711,4
7265,6,95566,5
7261,6,96181,6
7250,6,96911,7
7252,6,95713,8
7247,6,95894,9
7262,6,96721,10
7255,6,98323,11
7256,6,99018,12
7246,6,98289,13
7264,6,98548,14
7257,6,98191,15
7260,6,96713,16
7249,6,96941,17
7254,6,96828,18
7248,6,96504,19
7258,6,121705,20
7253,7,94546,1
7245,7,94267,2
7263,7,94785,3
7251,7,94826,4
7265,7,95563,5
7261,7,96301,6
7250,7,96583,7
7252,7,96824,8
7247,7,96412,9
7262,7,95923,10
7255,7,96445,11
7256,7,96688,12
7246,7,96703,13
7257,7,96651,14
7264,7,97011,15
7260,7,96587,16
7249,7,97385,17
7254,7,96659,18
7248,7,96301,19
7253,8,95109,1
7245,8,94318,2
7263,8,94576,3
7251,8,95136,4
7265,8,95328,5
7261,8,95574,6
7250,8,96358,7
7252,8,96222,8
7247,8,96466,9
7262,8,96487,10
7255,8,96182,11
7256,8,96383,12
7246,8,96448,13
7264,8,96686,14
7257,8,97001,15
7260,8,97060,16
7249,8,97112,17
7254,8,98121,18
7248,8,97097,19
7245,9,95415,1
7253,9,96091,2
7263,9,95005,3
7251,9,94914,4
7265,9,95547,5
7261,9,95618,6
7250,9,95856,7
7252,9,95859,8
7247,9,96442,9
7262,9,96348,10
7255,9,95652,11
7256,9,97376,12
7246,9,96962,13
7264,9,96276,14
7257,9,96221,15
7260,9,96499,16
7249,9,96912,17
7254,9,96982,18
7248,9,96932,19
7245,10,94107,1
7253,10,94826,2
7263,10,94574,3
7251,10,94461,4
7265,10,95646,5
7261,10,95264,6
7250,10,95600,7
7252,10,95828,8
7247,10,96195,9
7262,10,95841,10
7255,10,95286,11
7246,10,96213,12
7256,10,97222,13
7264,10,96225,14
7257,10,96947,15
7260,10,96197,16
7249,10,96917,17
7254,10,96038,18
7248,10,96176,19
7245,11,94466,1
7253,11,94680,2
7263,11,94762,3
7251,11,94522,4
7265,11,95743,5
7261,11,95216,6
7250,11,95596,7
7252,11,95656,8
7247,11,96352,9
7255,11,96228,10
7262,11,97444,11
7246,11,96027,12
7264,11,96114,13
7257,11,95899,14
7260,11,97357,15
7256,11,101385,16
7249,11,97033,17
7254,11,96061,18
7248,11,96347,19
7245,12,93991,1
7253,12,95096,2
7263,12,94548,3
7251,12,94522,4
7265,12,95916,5
7261,12,95166,6
7250,12,95447,7
7252,12,95523,8
7247,12,96070,9
7262,12,95994,10
7246,12,95936,11
7264,12,95629,12
7255,12,101389,13
7257,12,96654,14
7260,12,96170,15
7249,12,96717,16
7254,12,95945,17
7248,12,96160,18
7256,12,111044,19
7245,13,94090,1
7253,13,94200,2
7263,13,94196,3
7251,13,94586,4
7265,13,94800,5
7261,13,95030,6
7250,13,95539,7
7252,13,95504,8
7247,13,95685,9
7262,13,95600,10
7264,13,95275,11
7246,13,96913,12
7257,13,96045,13
7260,13,96021,14
7249,13,96494,15
7254,13,95874,16
7248,13,96368,17
7255,13,110202,18
7256,13,95730,19
7245,14,93866,1
7253,14,93867,2
7263,14,94017,3
7251,14,94375,4
7265,14,95257,5
7261,14,94665,6
7250,14,95458,7
7252,14,95408,8
7247,14,95788,9
7264,14,95258,10
7246,14,96296,11
7262,14,101306,12
7257,14,95648,13
7260,14,95818,14
7249,14,96683,15
7254,14,96596,16
7248,14,96242,17
7255,14,94761,18
7256,14,95801,19
7245,15,93510,1
7253,15,94146,2
7263,15,94132,3
7251,15,93831,4
7265,15,94929,5
7261,15,95038,6
7250,15,95223,7
7247,15,95653,8
7252,15,101221,9
7264,15,95198,10
7246,15,95814,11
7257,15,95720,12
7260,15,96017,13
7254,15,96237,14
7249,15,97426,15
7248,15,96186,16
7255,15,95441,17
7262,15,111573,18
7256,15,95909,19
7245,16,94225,1
7253,16,94340,2
7263,16,94243,3
7251,16,94128,4
7265,16,94746,5
7261,16,95159,6
7250,16,100169,7
7247,16,95474,8
7264,16,94829,9
7246,16,95836,10
7260,16,96142,11
7257,16,100786,12
7252,16,113030,13
7254,16,96606,14
7248,16,97002,15
7255,16,96394,16
7249,16,99225,17
7262,16,94988,18
7256,16,95879,19
7245,17,93742,1
7253,17,93816,2
7263,17,94353,3
7251,17,93865,4
7265,17,94747,5
7261,17,95474,6
7247,17,95616,7
7264,17,94729,8
7246,17,95439,9
7260,17,95585,10
7250,17,110830,11
7252,17,95662,12
7254,17,95631,13
7248,17,95123,14
7255,17,95017,15
7262,17,95354,16
7249,17,97847,17
7256,17,96175,18
7257,17,111738,19
7245,18,93946,1
7253,18,93729,2
7263,18,94321,3
7251,18,94378,4
7265,18,94353,5
7261,18,94798,6
7264,18,94786,7
7247,18,99685,8
7246,18,95796,9
7260,18,95456,10
7250,18,95185,11
7252,18,95417,12
7254,18,95651,13
7248,18,95243,14
7255,18,94561,15
7262,18,94928,16
7249,18,97216,17
7256,18,96229,18
7257,18,95140,19
7245,19,93684,1
7253,19,93669,2
7263,19,93904,3
7251,19,98146,4
7265,19,94469,5
7261,19,94853,6
7264,19,94845,7
7246,19,95487,8
7260,19,95202,9
7250,19,95053,10
7252,19,95106,11
7254,19,95332,12
7248,19,96101,13
7255,19,96118,14
7262,19,94917,15
7247,19,115077,16
7249,19,96798,17
7257,19,95026,18
7256,19,97477,19
7245,20,93249,1
7253,20,93560,2
7263,20,94060,3
7251,20,95730,4
