sessionId,entrantId,positionOrder,positionText,laps,time
2022-09-Q1,7245,1,1,,92219
2022-09-Q1,7252,2,2,,92277
2022-09-Q1,7263,3,3,,92781
2022-09-Q1,7255,4,4,,92957
2022-09-Q1,7253,5,5,10,93008
2022-09-Q1,7260,6,6,,93012
2022-09-Q1,7264,7,7,,93160
2022-09-Q1,7246,8,8,,93636
2022-09-Q1,7265,9,9,,93689
2022-09-Q1,7258,10,10,,93692
2022-09-Q1,7262,11,11,,93707
2022-09-Q1,7261,12,12,,93841
2022-09-Q1,7251,13,13,,93929
2022-09-Q1,7257,14,14,,94047
2022-09-Q1,7247,15,15,15,94066
2022-09-Q1,7250,16,16,11,94492
2022-09-Q1,7248,17,17,12,94512
2022-09-Q1,7254,18,18,11,95532
2022-09-Q1,7249,19,19,11,95660
2022-09-Q1,7256,20,20,4,96575
