sessionId,entrantId,positionText,positionOrder,time,gridPos,laps,points,gap,timePenalty,reasonRetired
2022-11-SR,7245,1,1,1590059,1,23,8,,,
2022-11-SR,7253,2,2,1591734,2,23,7,1675,,
2022-11-SR,7263,3,3,1595703,3,23,6,5644,,
2022-11-SR,7264,4,4,1603488,4,23,5,13429,,
2022-11-SR,7251,5,5,1608361,13,23,4,18302,,
2022-11-SR,7260,6,6,1621091,5,23,3,31032,,
2022-11-SR,7255,7,7,1624598,6,23,2,34539,,
2022-11-SR,7261,8,8,1625506,9,23,1,35447,,
2022-11-SR,7262,9,9,1627222,7,23,0,37163,,
2022-11-SR,7265,10,10,1627616,12,23,0,37557,,
2022-11-SR,7247,11,11,1628639,15,23,0,38580,,
2022-11-SR,7246,12,12,1629797,16,23,0,39738,,
2022-11-SR,7254,13,13,1638300,17,23,0,48241,,
2022-11-SR,7258,14,14,1640812,PL,23,0,50753,,
2022-11-SR,7250,15,15,1642184,10,23,0,52125,,
2022-11-SR,7257,16,16,1642471,11,23,0,52412,5000,
2022-11-SR,7256,17,17,1644615,14,23,0,54556,,
2022-11-SR,7249,18,18,1658753,19,23,0,+1:08.694,,
2022-11-SR,7248,19,19,,20,21,0,,,Collision damage
2022-11-SR,7252,DNS,20,,,,0,,,Electrical
