entrantId,lap,time,pos
7264,1,88391,1
7263,1,90046,2
7253,1,90984,3
7247,1,91618,4
7261,1,92536,5
7260,1,93887,6
7252,1,95540,7
7245,1,96512,8
7251,1,98691,9
7255,1,100882,10
7246,1,101889,11
7262,1,102838,12
7265,1,103547,13
7254,1,104900,14
7257,1,105881,15
7256,1,108072,16
7258,1,109084,17
7248,1,109517,18
7249,1,110639,19
7250,1,112432,20
7264,2,112128,1
7263,2,114643,2
7253,2,114855,3
7247,2,115079,4
7261,2,114827,5
7260,2,114847,6
7252,2,114233,7
7245,2,114460,8
7251,2,114989,9
7255,2,113795,10
7246,2,113527,11
7257,2,109840,12
7262,2,113475,13
7265,2,113373,14
7254,2,112761,15
7256,2,111190,16
7258,2,110810,17
7248,2,110871,18
7249,2,111116,19
7250,2,109869,20
7264,3,90593,1
7263,3,88905,2
7253,3,88826,3
7247,3,89459,4
7261,3,89528,5
7260,3,89340,6
7252,3,89050,7
7245,3,88191,8
7251,3,86519,9
7255,3,87210,10
7246,3,87333,11
7262,3,87366,12
7265,3,87408,13
7254,3,87496,14
7256,3,88098,15
7248,3,87484,16
7258,3,88757,17
7249,3,87601,18
7250,3,87570,19
7257,3,113951,20
7264,4,83722,1
7263,4,83354,2
7253,4,83573,3
7247,4,84090,4
7261,4,84265,5
7260,4,84583,6
7252,4,84742,7
7245,4,85058,8
7251,4,84689,9
7255,4,85178,10
7246,4,84910,11
7262,4,85073,12
7265,4,85128,13
7254,4,85178,14
7256,4,85369,15
7248,4,85497,16
7258,4,85405,17
7249,4,86007,18
7250,4,86024,19
7257,4,85048,20
7264,5,83954,1
7263,5,83932,2
7253,5,84315,3
7247,5,84182,4
7261,5,84348,5
7260,5,84991,6
7245,5,84121,7
7252,5,85898,8
7251,5,85039,9
7255,5,85411,10
7246,5,85227,11
7262,5,85108,12
7265,5,85352,13
7254,5,85149,14
7256,5,85159,15
7248,5,85146,16
7258,5,85331,17
7249,5,85935,18
7250,5,85906,19
7257,5,84719,20
7264,6,83999,1
7263,6,83938,2
7253,6,84187,3
7247,6,84512,4
7261,6,84628,5
7260,6,85000,6
7245,6,84804,7
7252,6,84888,8
7251,6,85012,9
7246,6,85614,10
7262,6,85891,11
7255,6,88081,12
7265,6,85824,13
7254,6,85764,14
7256,6,85195,15
7248,6,85323,16
7258,6,85400,17
7249,6,85567,18
7250,6,85562,19
7257,6,84924,20
7264,7,84069,1
7263,7,84065,2
7253,7,84103,3
7247,7,84533,4
7261,7,84392,5
7245,7,84079,6
7260,7,86285,7
7251,7,84863,8
7252,7,86960,9
7246,7,85052,10
7262,7,85547,11
7265,7,85431,12
7254,7,85418,13
7256,7,85434,14
7248,7,85504,15
7258,7,85417,16
7249,7,85677,17
7250,7,85757,18
7257,7,85177,19
7255,7,113875,20
7264,8,84073,1
7263,8,84439,2
7253,8,84141,3
7247,8,84857,4
7261,8,84780,5
7245,8,84156,6
7260,8,85336,7
7251,8,85016,8
7252,8,85381,9
7246,8,85521,10
7262,8,85973,11
7265,8,85732,12
7254,8,86135,13
7256,8,85788,14
7248,8,85476,15
7258,8,85721,16
7249,8,85772,17
7250,8,85562,18
7257,8,85329,19
7255,8,85840,20
7264,9,83714,1
7263,9,83860,2
7253,9,83818,3
7247,9,84832,4
7261,9,84627,5
7245,9,84097,6
7251,9,84025,7
7260,9,86048,8
7252,9,85441,9
7246,9,85516,10
7262,9,85757,11
7265,9,85684,12
7254,9,85576,13
7256,9,85513,14
7248,9,85481,15
7258,9,85780,16
7250,9,85044,17
7249,9,86738,18
7257,9,85360,19
7255,9,85685,20
7264,10,84514,1
7263,10,84648,2
7253,10,84124,3
7247,10,85461,4
7261,10,85266,5
7245,10,84566,6
7251,10,84655,7
7260,10,85396,8
7252,10,85362,9
7246,10,85674,10
7262,10,86007,11
7265,10,86110,12
7254,10,86055,13
7248,10,85510,14
7256,10,86993,15
7258,10,85699,16
7250,10,85329,17
7249,10,86406,18
7257,10,85585,19
7255,10,85621,20
7264,11,84310,1
7263,11,83901,2
7253,11,84148,3
7247,11,85801,4
7261,11,85711,5
7245,11,85356,6
7251,11,84095,7
7260,11,85266,8
7252,11,85332,9
7246,11,85806,10
7262,11,85841,11
7265,11,85588,12
7254,11,85890,13
7248,11,85948,14
7256,11,85997,15
7258,11,85822,16
7250,11,86003,17
7249,11,86298,18
7257,11,85713,19
