sessionId,entrantId,positionOrder,positionText,laps,time
2022-15-FP3,7253,1,1,20,71632
2022-15-FP3,7264,2,2,24,71698
2022-15-FP3,7245,3,3,22,71793
2022-15-FP3,7263,4,4,17,71971
2022-15-FP3,7261,5,5,25,72156
2022-15-FP3,7251,6,6,29,72176
2022-15-FP3,7252,7,7,16,72327
2022-15-FP3,7248,8,8,25,72491
2022-15-FP3,7262,9,9,15,72558
2022-15-FP3,7247,10,10,18,72591
2022-15-FP3,7255,11,11,15,72606
2022-15-FP3,7254,12,12,18,72773
2022-15-FP3,7257,13,13,18,72775
2022-15-FP3,7260,14,14,20,73003
2022-15-FP3,7250,15,15,23,73046
2022-15-FP3,7256,16,16,22,73256
2022-15-FP3,7246,17,17,20,73299
2022-15-FP3,7265,18,18,15,73359
2022-15-FP3,7258,19,19,14,73421
2022-15-FP3,7249,20,20,22,73625
