entrantId,lap,time,pos
7253,1,88085,1
7264,1,89427,2
7246,1,90751,3
7245,1,90827,4
7250,1,91681,5
7247,1,92356,6
7252,1,93058,7
7271,1,93491,8
7258,1,93823,9
7248,1,94498,10
7254,1,94774,11
7255,1,95277,12
7260,1,95680,13
7249,1,95968,14
7251,1,96234,15
7263,1,96448,16
7262,1,97137,17
7256,1,97420,18
7261,1,97652,19
7265,1,98273,20
7253,2,86535,1
7264,2,86724,2
7245,2,86401,3
7246,2,88398,4
7250,2,88201,5
7247,2,88196,6
7252,2,88272,7
7271,2,88416,8
7258,2,88445,9
7254,2,88722,10
7248,2,89616,11
7260,2,88849,12
7255,2,89935,13
7263,2,89685,14
7249,2,90629,15
7251,2,90459,16
7256,2,89541,17
7261,2,90032,18
7262,2,90906,19
7265,2,89846,20
7253,3,86352,1
7264,3,86432,2
7245,3,86181,3
7246,3,87818,4
7250,3,87625,5
7247,3,87655,6
7252,3,87607,7
7271,3,87566,8
7258,3,87989,9
7254,3,88096,10
7248,3,88338,11
7260,3,88228,12
7255,3,88221,13
7263,3,87539,14
7251,3,87557,15
7249,3,89308,16
7256,3,89333,17
7261,3,88954,18
7262,3,89301,19
7265,3,89643,20
7253,4,85802,1
7264,4,86143,2
7245,4,85782,3
7246,4,87260,4
7250,4,87365,5
7247,4,87326,6
7252,4,87417,7
7271,4,87459,8
7258,4,87296,9
7254,4,87618,10
7248,4,87501,11
7260,4,87725,12
7263,4,87044,13
7251,4,87263,14
7255,4,89212,15
7249,4,87944,16
7256,4,88198,17
7261,4,88153,18
7262,4,88248,19
7265,4,88362,20
7253,5,85902,1
7245,5,85512,2
7264,5,86878,3
7246,5,87441,4
7250,5,87534,5
7247,5,87553,6
7252,5,87502,7
7271,5,87428,8
7258,5,87546,9
7254,5,87637,10
7263,5,86543,11
7248,5,87928,12
7260,5,88005,13
7251,5,87266,14
7255,5,88126,15
7249,5,87837,16
7256,5,87638,17
7261,5,87806,18
7262,5,87412,19
7265,5,87560,20
7253,6,85559,1
7245,6,85660,2
7264,6,85761,3
7246,6,87406,4
7250,6,87316,5
7247,6,87381,6
7252,6,87446,7
7271,6,87466,8
7258,6,87369,9
7263,6,86343,10
7254,6,88499,11
7248,6,88087,12
7251,6,87535,13
7260,6,88533,14
7255,6,87918,15
7249,6,87773,16
7256,6,87372,17
7261,6,87335,18
7262,6,87712,19
7265,6,87704,20
7253,7,85467,1
7245,7,85297,2
7264,7,86255,3
7246,7,87222,4
7250,7,87368,5
7247,7,87265,6
7252,7,87203,7
7271,7,87341,8
7258,7,87300,9
7263,7,86477,10
7254,7,87694,11
7248,7,87662,12
7260,7,87642,13
7255,7,87833,14
7256,7,87550,15
7249,7,88283,16
7261,7,87943,17
7251,7,92185,18
7262,7,87949,19
7265,7,88065,20
7253,8,85784,1
7245,8,85618,2
7264,8,86273,3
7246,8,87266,4
7250,8,87232,5
7247,8,87380,6
7252,8,87415,7
7271,8,87328,8
7263,8,86592,9
7258,8,87953,10
7254,8,87783,11
7248,8,87956,12
7260,8,87379,13
7256,8,87331,14
7255,8,88877,15
7261,8,87783,16
7249,8,88760,17
7262,8,88199,18
7265,8,88043,19
7251,8,107579,20
7253,9,86092,1
7245,9,85886,2
7264,9,86404,3
7246,9,87567,4
7250,9,87534,5
7247,9,87295,6
7252,9,87487,7
7263,9,86940,8
7271,9,88071,9
7258,9,87651,10
7254,9,87902,11
7248,9,87851,12
7260,9,87876,13
7256,9,87578,14
7261,9,86724,15
7255,9,88644,16
7249,9,88305,17
7262,9,88693,18
7265,9,88987,19
7251,9,87176,20
7253,10,86266,1
7245,10,85953,2
7264,10,86169,3
7246,10,87661,4
7250,10,87606,5
7247,10,87565,6
7263,10,86791,7
7252,10,87975,8
7271,10,87381,9
7258,10,87471,10
7254,10,88014,11
7260,10,88206,12
7248,10,88788,13
7256,10,87564,14
7261,10,87646,15
7255,10,87835,16
7249,10,87967,17
7262,10,87574,18
7265,10,87942,19
7251,10,86794,20
7253,11,85796,1
7245,11,85858,2
7264,11,86551,3
7246,11,87466,4
7250,11,87449,5
7263,11,86909,6
7247,11,88230,7
7252,11,87748,8
7271,11,87798,9
7258,11,87709,10
7254,11,88112,11
7260,11,87655,12
7261,11,87226,13
7256,11,88534,14
7255,11,88421,15
7249,11,88664,16
7262,11,88826,17
7265,11,88315,18
7251,11,95458,19
7245,12,107245,1
7253,12,109019,2
7264,12,108631,3
7246,12,109865,4
7263,12,109850,5
7250,12,110771,6
7247,12,110690,7
7252,12,110187,8
7271,12,110794,9
7258,12,110966,10
7254,12,110745,11
7260,12,110480,12
7261,12,110598,13
7256,12,111102,14
7255,12,110858,15
7249,12,110000,16
7262,12,109900,17
7265,12,110882,18
7251,12,100780,19
7245,13,88719,1
7264,13,88268,2
7253,13,106038,3
7263,13,87747,4
7246,13,89644,5
7250,13,88402,6
7252,13,87450,7
7247,13,88568,8
7271,13,87451,9
7258,13,87247,10
7254,13,87931,11
7260,13,87636,12
7261,13,87207,13
7256,13,87377,14
7249,13,87316,15
7255,13,88457,16
7262,13,88080,17
7265,13,87509,18
7251,13,86068,19
7245,14,85615,1
7264,14,86289,2
7253,14,85257,3
7263,14,86823,4
7246,14,87727,5
7250,14,88309,6
