entrantId,lap,time,pos
7245,1,122046,1
7253,1,124571,2
7251,1,127539,3
7260,1,132607,4
7261,1,136349,5
7252,1,139009,6
7264,1,142299,7
7246,1,144913,8
7256,1,147133,9
7262,1,148607,10
7254,1,150337,11
7255,1,152254,12
7247,1,154186,13
7265,1,156668,14
7249,1,158944,15
7248,1,162377,16
7258,1,167346,17
7250,1,169982,18
7245,2,183369,1
7253,2,183735,2
7251,2,183119,3
7260,2,179566,4
7261,2,180131,5
7252,2,180255,6
7264,2,179723,7
7246,2,179276,8
7256,2,180964,9
7262,2,182728,10
7254,2,184261,11
7255,2,184196,12
7247,2,183799,13
7265,2,182908,14
7249,2,183734,15
7248,2,183136,16
7258,2,180250,17
7250,2,180465,18
7245,3,553758,1
7253,3,552789,2
7251,3,551999,3
7260,3,553288,4
7261,3,552244,5
7252,3,551291,6
7264,3,550782,7
7246,3,550080,8
7256,3,547099,9
7262,3,544609,10
7254,3,543113,11
7255,3,542372,12
7247,3,541923,13
7265,3,542136,14
7249,3,541634,15
7248,3,543240,16
7258,3,543096,17
7250,3,542349,18
7245,4,165704,1
7253,4,165976,2
7251,4,166411,3
7260,4,165290,4
7261,4,166392,5
7252,4,167059,6
7264,4,166511,7
7246,4,165979,8
7256,4,166325,9
7262,4,166339,10
7254,4,165927,11
7255,4,166170,12
7247,4,167589,13
7265,4,166418,14
7249,4,167472,15
7248,4,165568,16
7258,4,165226,17
7250,4,166478,18
7245,5,183390,1
7253,5,181833,2
7251,5,181424,3
7260,5,180129,4
7261,5,176122,5
7252,5,174046,6
7264,5,172980,7
7246,5,172881,8
7256,5,171856,9
7262,5,171933,10
7254,5,171170,11
7255,5,170782,12
7247,5,169411,13
7265,5,171638,14
7258,5,165737,15
7250,5,162769,16
7249,5,171537,17
7248,5,169390,18
7245,6,110761,1
7253,6,111393,2
7251,6,113662,3
7260,6,114730,4
7261,6,115173,5
7252,6,116300,6
7264,6,117437,7
7246,6,118762,8
7256,6,119016,9
7262,6,119530,10
7255,6,118579,11
7254,6,120467,12
7247,6,122340,13
7258,6,117862,14
7250,6,117895,15
7265,6,122174,16
7248,6,132958,17
7249,6,135690,18
7245,7,112865,1
7253,7,112863,2
7251,7,114053,3
7260,7,114890,4
7252,7,113315,5
7261,7,115367,6
7264,7,116796,7
7246,7,114988,8
7262,7,115038,9
7256,7,118102,10
7255,7,118331,11
7258,7,114060,12
7254,7,118562,13
7250,7,117813,14
7248,7,108401,15
7249,7,108663,16
7247,7,131652,17
7265,7,132897,18
7252,8,112739,1
7262,8,113513,2
7246,8,115504,3
7245,8,130625,4
7253,8,132483,5
7258,8,113826,6
7251,8,131551,7
7260,8,131686,8
7261,8,132216,9
7248,8,110163,10
7249,8,109015,11
7247,8,108175,12
7256,8,131821,13
7264,8,136643,14
7254,8,130741,15
7265,8,110819,16
7255,8,133938,17
7250,8,131737,18
7245,9,105148,1
7253,9,106672,2
7262,9,114213,3
7251,9,107730,4
7260,9,108747,5
7261,9,107518,6
7258,9,115996,7
7248,9,108638,8
7252,9,132203,9
7249,9,110071,10
7247,9,108837,11
7256,9,108188,12
7264,9,108586,13
7254,9,108388,14
7246,9,134512,15
7255,9,111148,16
7265,9,112751,17
7250,9,109380,18
7245,10,104911,1
7253,10,104489,2
7251,10,107088,3
