entrantId,lap,time,pos
7313,1,101038,7
7294,1,96851,1
7284,1,97257,2
7297,1,104753,12
7287,1,105612,15
7296,1,104694,11
7312,1,99413,5
7283,1,105222,13
7291,1,100245,6
7293,1,99093,4
7290,1,102172,8
7311,1,103306,9
7299,1,106323,17
7303,1,105985,16
7314,1,98652,3
7309,1,105589,14
7288,1,104564,10
7306,1,106740,18
7302,1,107264,20
7300,1,107254,19
7313,2,97188,7
7294,2,95567,1
7284,2,95906,2
7297,2,97670,12
7287,2,98763,15
7296,2,97219,11
7312,2,96583,5
7283,2,97680,13
7291,2,97006,6
7293,2,96324,4
7290,2,97056,8
7311,2,96907,9
7299,2,103070,19
7303,2,98916,16
7314,2,96114,3
7309,2,98171,14
7288,2,96615,10
7306,2,100748,18
7302,2,99426,17
7300,2,124805,20
7313,3,96628,7
7294,3,95140,1
7284,3,94829,2
7297,3,96538,12
7287,3,96956,15
7296,3,96796,11
7312,3,95354,5
7283,3,96526,13
7291,3,96066,6
7293,3,95239,4
7290,3,96044,8
7311,3,95825,9
7299,3,123534,20
7303,3,97065,16
7314,3,95300,3
7309,3,97150,14
7288,3,96260,10
7306,3,96945,18
7302,3,96997,17
7300,3,95634,19
7313,4,96263,7
7294,4,96664,2
7284,4,95651,1
7297,4,97593,13
7287,4,97211,15
7296,4,97098,11
7312,4,95428,5
7283,4,96503,12
7291,4,95729,6
7293,4,95560,4
7290,4,96291,8
7311,4,95871,9
7299,4,96627,20
7303,4,96913,16
7314,4,95596,3
7309,4,97006,14
7288,4,96359,10
7306,4,96847,18
7302,4,96844,17
7300,4,95512,19
7313,5,95867,7
7294,5,94920,2
7284,5,94873,1
7297,5,96753,13
7287,5,96597,15
7296,5,97298,12
7312,5,95433,5
7283,5,95359,11
7291,5,95849,6
7293,5,95471,4
7290,5,95973,8
7311,5,96275,9
7299,5,95929,20
7303,5,97108,16
7314,5,95423,3
7309,5,96705,14
7288,5,96314,10
7306,5,96992,18
7302,5,96881,17
7300,5,95662,19
7313,6,95973,7
7294,6,94658,2
7284,6,94621,1
7297,6,96095,12
7287,6,97418,15
7296,6,97010,13
7312,6,95667,5
7283,6,95840,11
7291,6,95794,6
7293,6,95551,4
7290,6,95837,8
7311,6,95347,9
7299,6,95963,20
7303,6,97004,16
7314,6,95477,3
7309,6,96788,14
7288,6,95928,10
7306,6,96862,18
7302,6,97043,17
7300,6,95359,19
7313,7,96093,7
7294,7,94422,2
7284,7,94277,1
7297,7,96398,12
7287,7,97674,15
7296,7,96304,13
7312,7,95216,5
7283,7,95687,11
7291,7,95847,6
7293,7,95140,4
7290,7,97137,9
7311,7,96117,8
7299,7,95771,20
7303,7,97577,16
