entrantId,lap,time,pos
7313,1,88585,5
7294,1,85527,2
7284,1,118190,18
7297,1,120092,20
7287,1,96914,14
7296,1,98425,16
7312,1,87390,4
7283,1,84238,1
7291,1,86639,3
7293,1,99562,17
7290,1,89701,7
7311,1,89108,6
7299,1,92034,10
7303,1,94616,13
7314,1,90387,8
7309,1,91317,9
7288,1,118785,19
7306,1,93449,12
7302,1,97689,15
7300,1,93070,11
7313,2,80527,5
7294,2,79646,2
7284,2,79704,18
7297,2,80434,20
7287,2,80021,14
7296,2,80175,16
7312,2,80593,4
7283,2,79367,1
7291,2,80301,3
7293,2,79989,17
7290,2,80636,7
7311,2,80549,6
7299,2,81610,10
7303,2,80977,13
7314,2,81155,8
7309,2,81288,9
7288,2,80757,19
7306,2,81764,12
7302,2,79658,15
7300,2,81804,11
7313,3,80105,5
7294,3,79113,2
7284,3,76387,18
7297,3,77221,20
7287,3,80142,14
7296,3,79929,16
7312,3,79958,4
7283,3,79074,1
7291,3,79704,3
7293,3,79928,17
7290,3,80282,7
7311,3,80021,6
7299,3,80396,10
7303,3,80703,13
7314,3,80291,8
7309,3,80281,9
7288,3,77003,19
7306,3,80580,12
7302,3,80219,15
7300,3,80532,11
7313,4,79356,5
7294,4,78776,2
7284,4,76535,18
7297,4,77148,20
7287,4,80341,14
7296,4,80407,16
7312,4,79482,4
7283,4,78129,1
7291,4,79314,3
7293,4,79998,17
7290,4,79577,7
7311,4,79468,6
7299,4,80209,10
7303,4,80276,13
7314,4,80030,8
7309,4,80032,9
7288,4,76946,19
7306,4,80376,12
7302,4,80246,15
7300,4,80408,11
7313,5,78736,5
7294,5,77939,2
7284,5,76269,18
7297,5,77045,20
7287,5,80022,14
7296,5,80224,16
7312,5,78723,4
7283,5,78019,1
7291,5,79041,3
7293,5,80438,17
7290,5,78893,7
7311,5,78837,6
7299,5,79502,10
7303,5,79967,13
7314,5,78840,8
7309,5,79296,9
7288,5,76926,19
7306,5,79790,12
7302,5,80214,15
7300,5,79707,11
7313,6,78958,5
7294,6,77952,2
7284,6,76458,18
7297,6,76991,20
7287,6,79165,14
7296,6,79352,16
7312,6,78764,4
7283,6,77640,1
7291,6,78731,3
7293,6,79785,17
7290,6,78842,7
7311,6,78829,6
7299,6,79045,10
7303,6,79165,13
7314,6,78945,8
7309,6,78730,9
7288,6,77205,19
7306,6,79224,12
7302,6,79312,15
7300,6,79247,11
7313,7,78651,5
7294,7,77505,2
7284,7,77399,18
7297,7,77333,20
7287,7,79167,14
7296,7,79512,16
7312,7,78697,4
7283,7,77633,1
7291,7,78782,3
7293,7,79417,17
7290,7,78604,7
7311,7,78645,6
7299,7,78652,10
7303,7,79055,13
7314,7,78583,8
7309,7,78712,9
7288,7,77408,19
7306,7,79038,12
7302,7,79239,15
7300,7,78869,11
7313,8,79051,5
7294,8,77391,2
7284,8,77937,18
7297,8,77237,20
7287,8,78774,14
7296,8,79052,16
7312,8,78637,4
7283,8,77397,1
7291,8,78533,3
7293,8,78733,17
7290,8,79317,7
7311,8,79165,6
7299,8,78651,10
7303,8,78796,13
7314,8,78990,8
7309,8,78951,9
7288,8,77254,19
7306,8,78743,12
7302,8,78947,15
7300,8,78828,11
7313,9,78829,5
7294,9,77783,2
7284,9,78254,18
7297,9,77433,20
7287,9,79007,14
7296,9,78914,16
7312,9,78306,4
7283,9,77031,1
7291,9,78594,3
7293,9,78659,17
7290,9,78788,7
7311,9,78809,6
7299,9,79065,10
7303,9,79293,13
7314,9,79025,8
7309,9,78859,9
7288,9,77523,19
7306,9,79454,12
7302,9,79529,15
7300,9,79346,11
7313,10,78173,5
7294,10,77324,2
7284,10,79787,18
7297,10,78028,20
7287,10,79527,14
7296,10,79929,16
7312,10,78070,4
7283,10,77084,1
7291,10,78460,3
7293,10,79893,17
7290,10,78310,7
7311,10,78219,6
7299,10,79053,10
7303,10,79338,13
7314,10,78566,8
7309,10,78697,9
7288,10,78449,19
7306,10,78957,12
7302,10,80334,15
7300,10,79015,11
7313,11,77926,5
7294,11,77249,2
7284,11,79848,18
7297,11,79596,20
7287,11,79380,14
7296,11,79824,16
7312,11,78265,4
7283,11,76858,1
7291,11,78271,3
7293,11,79758,17
7290,11,78367,7
7311,11,78162,6
7299,11,79148,10
7303,11,79278,13
7314,11,78483,8
7309,11,79297,9
7288,11,79602,19
7306,11,79070,12
7302,11,80089,15
7300,11,78900,11
7313,12,78230,5
7294,12,77588,2
7284,12,80433,18
7297,12,80164,20
7287,12,80206,14
7296,12,80487,16
7312,12,78947,4
7283,12,76993,1
7291,12,78515,3
7293,12,80639,17
7290,12,78582,7
7311,12,78150,6
7299,12,80277,10
7303,12,80310,13
7314,12,78459,8
7309,12,79627,9
7288,12,80319,19
7306,12,80182,12
7302,12,80638,15
7300,12,80302,11
7313,13,78084,5
7294,13,78443,2
7284,13,80797,18
7297,13,80824,20
7287,13,79511,14
7296,13,80886,16
7312,13,78286,4
7283,13,77434,1
7291,13,78025,3
7293,13,80847,17
7290,13,77713,7
7311,13,78018,6
7299,13,78978,10
7303,13,79885,13
7314,13,77787,8
7309,13,78800,9
7288,13,80561,19
7306,13,79419,12
7302,13,80702,15
7300,13,79265,11
7313,14,78422,5
7294,14,77508,2
7284,14,80283,18
7297,14,81254,20
7287,14,80067,14
7296,14,80328,16
7312,14,78107,4
7283,14,77065,1
7291,14,78055,3
7293,14,80295,17
7290,14,78564,7
7311,14,78394,6
7299,14,78856,10
7303,14,80259,13
7314,14,78286,8
7309,14,78481,9
7288,14,80653,19
7306,14,79479,12
7302,14,80318,15
7300,14,79285,11
7313,15,78189,5
7294,15,77444,2
7284,15,80418,18
7297,15,80972,20
7287,15,80912,14
7296,15,80287,16
7312,15,77883,4
7283,15,77079,1
7291,15,78018,3
7293,15,80203,17
7290,15,78284,7
7311,15,78312,6
7299,15,78855,10
7303,15,80892,13
7314,15,78531,8
7309,15,78439,9
7288,15,80398,19
7306,15,79081,12
7302,15,80280,15
7300,15,79134,11
