entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,timePenalty,reasonRetired
7283,1,1,1826730,1,,24,0,1,0,,
7284,2,2,1847778,2,,24,0,1,0,,
7312,3,3,1849818,5,,24,0,1,0,,
7293,4,4,1856433,7,,24,0,1,0,,
7294,5,5,1856839,6,,24,0,1,0,,
7297,6,6,1858027,4,,24,0,1,0,,
7291,7,7,1863332,8,,24,0,1,0,,
7314,8,8,1863341,15,,24,0,1,0,,
7299,9,9,1865338,3,,24,0,1,0,,
7313,10,10,1873105,18,,24,0,1,0,,
7300,11,11,1876537,17,,24,0,1,0,,
7311,12,12,1877519,9,,24,0,1,0,,
7303,13,13,1879578,11,,24,0,1,0,,
7296,14,14,1883323,10,,24,0,1,0,,
7290,15,15,1884382,12,,24,0,1,0,,
7309,16,16,1891552,13,,24,0,1,0,,
7306,17,17,1892347,14,,24,0,1,0,,
7302,18,18,1892789,20,,24,0,1,0,,
7288,19,19,1897555,16,,24,0,1,0,,
7287,20,20,1903165,19,,24,0,1,0,,
