entrantId,lap,time,timeOfDay,annotation
7314,1,39686,20:05:46,
7287,3,29977,20:10:22,
7296,3,28743,20:10:26,
7293,3,28886,20:10:27,
7305,3,29330,20:10:28,
7309,9,27781,20:20:28,
7291,10,28961,20:21:53,
7294,11,28373,20:23:19,
7290,11,28429,20:23:25,
7300,12,28875,20:24:45,
7311,12,28228,20:24:49,
7299,13,28134,20:26:21,
7297,13,39879,20:26:32,
7302,13,29436,20:26:35,
7314,14,28542,20:27:57,
7283,17,28233,20:32:05,
7284,17,27808,20:32:32,
7303,18,29253,20:33:58,
7288,18,28984,20:34:06,
7287,21,29387,20:38:42,
7293,21,28156,20:38:45,
7296,21,28948,20:38:52,
7305,21,28665,20:38:54,
7309,22,27596,20:40:25,
7300,25,27868,20:44:26,
7311,25,27873,20:44:40,
7291,25,28969,20:44:42,
7294,26,28432,20:46:01,
7290,26,30192,20:46:12,
7302,26,29373,20:46:27,
7299,27,27611,20:47:29,
7297,27,28274,20:47:58,
7284,31,33246,20:53:34,
7303,31,28747,20:53:43,
7314,32,28314,20:54:52,
7283,34,28103,20:57:24,
7288,35,28854,20:59:41,
7287,39,28946,21:05:42,
7293,39,29399,21:05:45,
7296,39,30331,21:05:53,
7305,39,28171,21:06:05,
7297,39,28591,21:06:08,
7309,40,27809,21:07:30,
7300,43,27489,21:10:55,
7311,43,27513,21:11:17,
7291,43,29169,21:11:27,
7284,43,33165,21:11:35,
7299,44,27677,21:12:24,
7294,44,28393,21:12:50,
7290,44,34856,21:12:58,
7303,44,28981,21:13:12,
7314,50,28191,21:21:11,
7283,51,29726,21:22:13,
7288,52,28815,21:24:48,
