entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,timePenalty,reasonRetired
7283,1,1,5348289,2,,50,25,1,25,,
7311,2,2,5350359,1,,50,18,1,18,,
7284,3,3,5350530,11,,50,15,1,15,,
7291,4,4,5366954,16,,50,12,1,12,,
7293,5,5,5368356,19,,50,10,1,10,,
7312,6,6,5369123,12,,50,8,1,8,,
7313,7,7,5370044,10,,50,6,1,6,,
7314,8,8,5371380,3,,50,4,1,4,,
7294,9,9,5374253,9,,50,2,1,2,,
7300,10,10,5377785,18,,50,2,1,2,,
7290,11,11,5382559,4,,50,0,1,0,,
7303,12,12,5391687,5,,50,0,1,0,,
7296,13,13,5393114,8,,50,0,1,0,,
7307,14,14,5396814,14,,50,0,1,0,,
7288,15,15,5398451,17,,50,0,1,0,,
7302,16,16,5399171,6,,50,0,1,0,,
7287,17,17,5433639,7,,50,0,1,0,,
7309,18,18,,20,,46,0,1,0,,
7297,19,19,,13,,45,0,1,0,,
7299,20,DNF,,15,,2,0,1,0,,Colisión
