eventId,entrantId,positionOrder,positionText,laps,time
1984-1,5755,1,1,,94061
1984-1,5754,2,2,,94740
1984-1,5758,3,3,,95138
1984-1,5773,4,4,,95863
1984-1,5748,5,5,,96670
1984-1,5759,6,6,,97514
1984-1,5774,7,7,,97705
1984-1,5749,8,8,,97934
1984-1,5762,9,9,,98392
1984-1,5761,10,10,,98924
1984-1,5769,11,11,,99164
1984-1,5765,12,12,,99746
1984-1,5768,13,13,,100285
1984-1,5772,14,14,,100388
1984-1,5771,15,15,,100484
1984-1,5753,16,16,,100553
1984-1,5752,17,17,,100932
1984-1,5770,18,18,,100971
1984-1,5766,19,19,,101299
1984-1,5764,20,20,,101742
1984-1,5763,21,21,,102631
1984-1,5767,22,22,,103086
1984-1,5756,23,23,,104851
1984-1,5757,24,24,,105275
1984-2,5748,1,1,,68583
1984-2,5755,2,2,,68992
1984-2,5749,3,3,,69080
1984-2,5754,4,4,,69270
1984-2,5758,5,5,,70488
1984-2,5774,6,6,,70530
1984-2,5759,7,7,,70865
1984-2,5761,8,8,,71152
1984-2,5762,9,9,,71169
1984-2,5773,10,10,,71275
1984-2,5753,11,11,,71566
1984-2,5766,12,12,,71925
1984-2,5752,13,13,,71934
1984-2,5765,14,14,,71944
1984-2,5772,15,15,,72154
1984-2,5769,16,16,,72426
1984-2,5771,17,17,,72492
1984-2,5760,18,18,,72925
1984-2,5770,19,19,,73531
1984-2,5768,20,20,,73567
1984-2,5767,21,21,,75072
1984-2,5763,22,22,,75697
1984-2,5756,23,23,,75924
1984-2,5757,24,24,,75995
1984-3,5773,1,1,,77765
1984-3,5760,2,2,,78700
1984-3,5755,3,3,,78803
1984-3,5754,4,4,,78835
1984-3,5762,5,5,,79739
1984-3,5759,6,6,,79740
1984-3,5774,7,7,,79790
1984-3,5758,8,8,,80217
1984-3,5749,9,9,,80608
1984-3,5748,10,10,,80644
1984-3,5761,11,11,,80825
1984-3,5768,12,12,,80868
1984-3,5772,13,13,,81084
1984-3,5765,14,14,,81282
1984-3,5769,15,15,,81729
1984-3,5752,16,16,,82272
1984-3,5766,17,17,,83212
1984-3,5771,18,18,,83471
1984-3,5767,19,19,,83670
1984-3,5770,20,20,,83908
1984-3,5763,21,21,,84051
1984-3,5775,22,22,,86175
1984-3,5776,23,23,,87705
1984-3,5753,24,24,,91361
1984-4,5754,1,1,,93540
1984-4,5774,2,2,,93774
1984-4,5773,3,3,,94349
1984-4,5755,4,4,,94486
1984-4,5761,5,5,,95065
1984-4,5748,6,6,,95318
1984-4,5749,7,7,,95689
1984-4,5762,8,8,,95735
1984-4,5772,9,9,,95961
1984-4,5758,10,10,,96287
1984-4,5753,11,11,,96944
1984-4,5752,12,12,,96959
1984-4,5768,13,13,,96990
1984-4,5759,14,14,,97270
1984-4,5771,15,15,,97475
1984-4,5769,16,16,,97540
1984-4,5760,17,17,,98738
1984-4,5767,18,18,,98991
1984-4,5766,19,19,,99827
1984-4,5764,20,20,,99871
1984-4,5775,21,21,,100261
1984-4,5777,22,22,,101234
1984-4,5756,23,23,,101555
1984-4,5778,24,24,,102927
1984-5,5774,1,1,,66371
1984-5,5761,2,2,,66531
1984-5,5754,3,3,,66568
1984-5,5755,4,4,,66676
1984-5,5773,5,5,,67644
1984-5,5759,6,6,,68020
1984-5,5758,7,7,,68420
1984-5,5753,8,8,,68759
1984-5,5752,9,9,,68846
1984-5,5748,10,10,,68990
1984-5,5762,11,11,,69040
1984-5,5749,12,12,,69389
1984-5,5772,13,13,,69482
1984-5,5779,14,14,,69530
1984-5,5768,15,15,,70184
1984-5,5769,16,16,,70411
1984-5,5776,17,17,,70773
1984-5,5760,18,18,,70903
1984-5,5767,19,19,,70909
1984-5,5763,20,20,,70942
1984-5,5770,21,21,,71005
1984-5,5780,22,22,,71792
1984-5,5775,23,23,,73973
1984-5,5756,24,24,,74218
1984-6,5755,1,1,,117252
1984-6,5772,2,2,,118279
1984-6,5753,3,3,,118357
1984-6,5754,4,4,,119217
1984-6,5762,5,5,,119786
1984-6,5758,6,6,,119793
1984-6,5779,7,7,,119892
1984-6,5773,8,8,,120257
1984-6,5770,9,9,,120630
1984-6,5759,10,10,,121350
1984-6,5771,11,11,,122122
1984-6,5748,12,12,,122382
1984-6,5781,13,13,,123062
1984-6,5752,14,14,,123131
1984-6,5774,15,15,,123954
1984-6,5768,16,16,,125137
1984-6,5780,17,17,,126560
1984-6,5761,18,18,,127703
1984-6,5760,19,19,,130315
1984-7,5774,1,1,,89906
1984-7,5773,2,2,,90176
1984-7,5754,3,3,,90324
1984-7,5748,4,4,,90648
1984-7,5758,5,5,,90789
1984-7,5755,6,6,,90884
1984-7,5759,7,7,,91334
1984-7,5762,8,8,,91853
1984-7,5753,9,9,,92581
1984-7,5752,10,10,,93027
1984-7,5760,11,11,,93051
1984-7,5779,12,12,,93062
1984-7,5776,13,13,,93338
1984-7,5781,14,14,,93367
1984-7,5769,15,15,,93430
1984-7,5768,16,16,,93855
1984-7,5772,17,17,,94092
1984-7,5780,18,18,,94461
1984-7,5770,19,19,,94781
1984-7,5763,20,20,,95280
1984-7,5771,21,21,,96332
1984-7,5756,22,22,,96794
1984-7,5783,23,23,,97564
1984-7,5782,24,24,,99688
1984-8,5774,1,1,,107668
1984-8,5773,2,2,,107990
1984-8,5758,3,3,,108103
1984-8,5754,4,4,,108204
1984-8,5762,5,5,,108548
1984-8,5755,6,6,,108585
1984-8,5748,7,7,,109030
1984-8,5749,8,8,,109151
1984-8,5779,9,9,,109347
1984-8,5772,10,10,,109793
1984-8,5780,11,11,,109984
1984-8,5769,12,12,,109990
1984-8,5776,13,13,,110400
1984-8,5760,14,14,,110630
1984-8,5761,15,15,,110766
1984-8,5768,16,16,,111016
1984-8,5763,17,17,,111047
1984-8,5770,18,18,,111167
1984-8,5759,19,19,,111250
1984-8,5753,20,20,,111376
1984-8,5771,21,21,,112637
1984-8,5756,22,22,,114678
1984-8,5775,23,23,,115265
1984-8,5752,24,24,,122729
1984-10,5754,1,1,,73081
1984-10,5755,2,2,,73848
1984-10,5761,3,3,,74858
1984-10,5762,4,4,,75083
1984-10,5748,5,5,,75128
1984-10,5758,6,6,,75227
1984-10,5774,7,7,,76137
1984-10,5779,8,8,,76256
1984-10,5773,9,9,,76320
1984-10,5772,10,10,,76582
1984-10,5749,11,11,,76827
1984-10,5759,12,12,,77006
1984-10,5769,13,13,,77392
1984-10,5787,14,14,,77556
1984-10,5760,15,15,,77573
1984-10,5776,16,16,,78097
1984-10,5789,17,17,,78215
1984-10,5777,18,18,,78462
1984-10,5783,19,19,,78952
1984-10,5775,20,20,,79143
1984-10,5768,21,21,,79208
1984-10,5756,22,22,,79344
1984-10,5771,23,23,,80421
1984-10,5788,24,24,,84464
1984-10,5770,25,25,,85403
1984-11,5761,1,1,,113544
1984-11,5779,2,2,,113553
1984-11,5755,3,3,,113583
1984-11,5788,4,4,,113586
1984-11,5754,5,5,,113633
1984-11,5759,6,6,,113868
1984-11,5758,7,7,,114022
